original_name,french_name,RICname
alexandrie (egypte),Egypte (Alexandrie),Alexandria
alexandrie (egypte)**,Egypte (Alexandrie),Alexandria
alger,Alger,Algiers
alger et bone,Alger et Bône,Algiers & Annaba (Bône)
"alger, etats-barbaresques et côte d'afrique",Alger et Etats Barbaresques et Côte d'Afrique,Africa Coast & Algiers & Barbary Coast
algeria,Algérie,Algeria
algeria (france),Algérie,Algeria
algérie,Algérie,Algeria
algérie*,Algérie,Algeria
"algérie, maroc, tunisie et zanzibar",Algérie et Maroc et Tunisie et Zanzibar,Algeria & Morocco & Tunisia & Zanzibar
"algérie, tunis",Alger et Tunis,Algeria & Tunisia
algiers,Alger,Algiers
alhucemas,El-Hoceïma (Maroc),Al Hoceima
all europe,Europe,Europe
all french possessions (except tunis&indo-china),Colonies françaises (sauf Tunisie et Indochine),French Colonies (other)
all french possessions (except tunis),Colonies françaises (sauf Tunisie),French Colonies (other)
all other africa,Afrique (Autre),Africa (other)
all other asia,Asie (Autre),Asia (other)
all other british oceania,Océanie britannique (Autre),British Oceania (other)
all other british possessions,Colonies britanniques (Autre),British Colonies (other)
all other british possessions except china,Colonies britanniques (Sauf Chine),British Colonies (other)
all other british possessions in north america,Amérique du Nord britannique,British North America
"all other british possessions, excluding china",Colonies britanniques (Sauf Chine),British Colonies (other)
all other countries,Autres pays,Other countries
all other countries and ports,Autres pays,Other countries
all other countries and ports and seas,Autres pays,Other countries
all other countries and ports in africa,Afrique (Autre),Africa (other)
all other countries and ports in asia,Asie (Autre),Asia (other)
all other countries and ports in south america,Amérique du Sud (Autre),Southern America (other)
"all other countries and ports, and seas",Autres pays,Other countries
"all other countries, islands, and ports",Autres pays,Other countries
all other french possessions,Colonies françaises (Autre),French Colonies (other)
all other oceania,Océania (Autre),Oceania (other)
all other portuguese possessions,Colonies portugaises (Autre),Portuguese Colonies (other)
all other south america,Amérique du Sud (Autre),Southern America (other)
all other spanish possessions,Colonies espagnoles (Autre),Spanish Colonies (other)
all spanish possessions other than cuba and porto rico,Colonies espagnoles (Sauf Cuba et Porto Rico),Spanish Colonies (other)
all spanish possessions other than cuba and puerto rico (principally canary and philippine islands),Colonies espagnoles (Sauf Cuba et Porto Rico),Spanish Colonies (other)
"all spanish possessions other than cuba, puerto rico and philippine islands",Colonies espagnoles (Sauf Cuba et Porto Rico et Philippines),Spanish Colonies (other)
allem./autres,Allemagne (Autre),Germany (other)
allem./prusse,Prusse,Prussia
allem./rhin,Allemagne (Rhin),Rhine
allem./villes anséatiques,Villes hanséatiques,Bremen & Hamburg & Lubeck
allemagne,Allemagne,Germany
allemagne (+ autriche),Allemagne et Autriche,Austria-Hungary & Germany
allemagne (+ sarre),Allemagne et Sarre,Germany & Saar
allemagne (+autriche),Allemagne et Autriche,Austria-Hungary & Germany
allemagne (association commerciale allemande),Zollverein,Germany (Zollverein)
allemagne (empire),Allemagne,Germany
allemagne (empire)*,Allemagne,Germany
allemagne (etats d'),Allemagne,Germany
allemagne (union douanière allemande),Zollverein,Germany (Zollverein)
allemagne du nord,Allemagne du Nord,North Germany
allemagne du nord et hambourg,Allemagne du Nord et Hambourg,Hamburg & North Germany
allemagne entière,Allemagne,Germany
allemagne et autriche,Allemagne et Autriche,Austria-Hungary & Germany
allemagne et rhin,Allemagne et Rhin,Germany & Rhine
"allemagne, belgique, espagne, maroc, autres pays",Allemagne et Belgique et Espagne et Maroc et Autres,Belgium & Germany & Morocco & Other countries & Spain
"allemagne, belgique,pays-bas",Allemagne et Belgique et Pays-Bas,Belgium & Germany & Netherlands
"allemagne, villes anséatiques",Villes hanséatiques,Bremen & Hamburg & Lubeck
altona,Altona,Altona
altona (danem.),Danemark (Altona),Altona
altona (port franc d'),Altona,Altona
altona et wandsbeck,Altona et Wandsbeck,Altona & Wandsbeck
amér. anglaise,Amérique britannique,British America
amér. centrale,Amérique centrale,Central America
amer. nord,Amérique du Nord,Northern America
amér. nord,Amérique du Nord,Northern America
amer. nord britan.,Amérique du Nord britannique,British North America
amer. nord britannique,Amérique du Nord britannique,British North America
amer. sud,Amérique du Sud,Southern America
amér. sud,Amérique du Sud,Southern America
america,Amérique,America
america (central),Amérique centrale,Central America
america (south),Amérique du Sud,Southern America
"america, north and south",Amérique,America
"america, other parts",Amérique (Autre),America (other)
"americas, incl. usa",Amérique,America
amerique,Amérique,America
amérique,Amérique,America
amérique (etats-unis et autres),Amérique,America
amérique anglaise du nord,Amérique du Nord britannique,British North America
amérique centrale,Amérique centrale,Central America
amérique centrale et antilles,Amérique centrale et Antilles,Antilles & Central America
amérique du nord,Amérique du Nord,Northern America
amérique du nord (halifax),Halifax,Halifax
amerique du sud,Amérique du Sud,Southern America
amérique du sud,Amérique du Sud,Southern America
amérique du sud (anciennes colonies espagnoles),Amérique espagnole,Spanish America
amérique du sud (sauf brésil),Amérique du Sud (sauf Brésil),Southern America (other)
amérique du sud et indes occidentales,Amérique du Sud et Antilles,Antilles & Southern America
amérique entière,Amérique,America
amérique méridionale,Amérique du Sud,Southern America
"amérique méridionale (brésil, rio de la plata, autres)",Amérique du Sud,Southern America
amérique méridionale et antilles,Amérique du Sud et Antilles,Antilles & Southern America
amérique nord,Amérique du Nord,Northern America
amérique russe,Amérique russe,Russian America
amérique septentrionale,Amérique du Nord,Northern America
amérique sud,Amérique du Sud,Southern America
"amérique, iles érangères des indes occidentales et mer du sud",Antilles (sauf Antilles danoises) et Iles du Pacifique,Antilles (other) & Pacific Islands
amoy,Chine (Xiamen),Xiamen
amsterdam,Amsterdam,Amsterdam
amur ports,Ports de l'Amour (Russie),Amur River Ports
anatolie,Turquie (Anatolie),Western Anatolia
anciennes colonies espagnoles,Amérique espagnole,Spanish America
andaman islands,Iles Andaman,Andaman and Nicobar Is.
andorra,Andorre,Andorra
angletere,Angleterre,United Kingdom
angleterre,Angleterre,United Kingdom
angleterre (londres et malte),Londres et Malte,Malta & London
angleterre (londres et malte)**,Londres et Malte,Malta & London
angleterre (londres),Londres,London
angleterre (londres)**,Londres,London
angleterre (non compris ses compositions dans la méditerranée),Angleterre (sauf Méditerranée),United Kingdom
angleterre et  gibraltar et iles ioniennes et malte,Royaume-Uni et Gibraltar et Malte et Iles Ioniennes,Gibraltar & Ionian Is. & Malta & United Kingdom
angleterre et colonies,Royaume-Uni et Colonies britanniques,United Kingdom & British Colonies
angleterre et colonies anglaises,Royaume-Uni et Colonies britanniques,United Kingdom & British Colonies
angleterre et dépendances,Royaume-Uni et Colonies britanniques,United Kingdom & British Colonies
angleterre et dépendances d'europe,Angleterre et Europe britannique,United Kingdom & British Europe
angleterre et gibraltar,Royaume-Uni et Gibraltar,Gibraltar & United Kingdom
angleterre et gibraltar et malte et iles ioniennes,Royaume-Uni et Gibraltar et Malte et Iles Ioniennes,Gibraltar & Ionian Is. & Malta & United Kingdom
angleterre et iles ioniennes,Angleterre et Iles ioniennes,Ionian Is. & United Kingdom
angleterre et irlande,Angleterre et Irlande,Ireland & United Kingdom
angleterre et malte,Angleterre et Malte,Malta & United Kingdom
angleterre et malte et iles ioniennes,Angleterre et Malte et Iles ioniennes,Ionian Is. & Malta & United Kingdom
angleterre et possessions,Royaume-Uni et Colonies britanniques,United Kingdom & British Colonies
angleterre et possessions anglaises,Royaume-Uni et Colonies britanniques,United Kingdom & British Colonies
angleterre et possessions anglaises dans la méditerranée,Angleterre et Méditerranée britannique,United Kingdom & British Mediterranean
angleterre et possessions d'europe,Angleterre et Europe britannique,United Kingdom & British Europe
angleterre et ses dépendances,Royaume-Uni et Colonies britanniques,United Kingdom & British Colonies
angleterre et ses possessions,Royaume-Uni et Colonies britanniques,United Kingdom & British Colonies
"angleterre, gibraltar",Angleterre et Gibraltar,Gibraltar & United Kingdom
"angleterre, gibraltar, iles ioniennes, malte",Royaume-Uni et Gibraltar et Malte et Iles Ioniennes,Gibraltar & Ionian Is. & Malta & United Kingdom
"angleterre, gibraltar, malte et iles ioniennes",Royaume-Uni et Gibraltar et Malte et Iles Ioniennes,Gibraltar & Ionian Is. & Malta & United Kingdom
"angleterre, inde anglaise et nouvelle galles du sud",Royaume-Uni et Indes britanniques et Nouvelle Galles du Sud,India & New South Wales & United Kingdom
"angleterre, malte",Angleterre et Malte,Malta & United Kingdom
"angleterre, malte et iles ioniennes",Angleterre et Malte et Iles ioniennes,Ionian Is. & Malta & United Kingdom
"angleterre, malte et îles ioniennes",Angleterre et Malte et Iles ioniennes,Ionian Is. & Malta & United Kingdom
"angleterre, malte, et iles ioniennes",Angleterre et Malte et Iles ioniennes,Ionian Is. & Malta & United Kingdom
"angleterre, y compris gibraltar, malte et iles ioniennes",Royaume-Uni et Gibraltar et Malte et Iles Ioniennes,Gibraltar & Ionian Is. & Malta & United Kingdom
"angleterre, y compris malte et gibraltar",Royaume-Uni et Gibraltar et Malte et Iles Ioniennes,Gibraltar & Ionian Is. & Malta & United Kingdom
anglo-egyptian soudan,Soudan,Sudan (Anglo-Egyptian)
anglo-egyptian sudan,Soudan,Sudan (Anglo-Egyptian)
anglo-egyptian sudan||,Soudan,Sudan (Anglo-Egyptian)
anglo-egyptian sudan‡,Soudan,Sudan (Anglo-Egyptian)
angola,Angola,Angola
angra-pequena,Angra Pequena,Angra Pequena
antigoa,Antigua,Antigua & Barbuda
antigua,Antigua,Antigua & Barbuda
antigua (british west india islands),Antigua,Antigua & Barbuda
antigua (leeward islands - west india islands),Antigua,Antigua & Barbuda
antigue,Antigua,Antigua & Barbuda
antilla,Antilles,Antilles
antilles,Antilles,Antilles
antilles (autres que danoises),Antilles non danoises,Antilles (other)
antilles (non britanniques),Antilles non britanniques,Antilles (other)
antilles anglaises,Antilles britanniques,British West Indies
antilles brit./ bermudes,Antilles britanniques et Bermudes,Bermuda & British West Indies
antilles britaniques,Antilles britanniques,British West Indies
antilles britanniques,Antilles britanniques,British West Indies
antilles britanniques (y compris bermudes),Antilles britanniques et Bermudes,Bermuda & British West Indies
antilles danoises,Antilles danoises,Virgin Islands (Danish West Indies)
antilles espagnoles,Antilles espagnoles,Spanish Antilles
antilles et amérique centrale,Antilles et Amérique centrale,Antilles & Central America
antilles étrangères,Antilles étrangères,Antilles (other)
antilles françaises,Antilles françaises,French West Indies
antilles hollandaises,Antilles néerlandaises,Netherlands Antilles
antilles néerlandaises,Antilles néerlandaises,Netherlands Antilles
antilles**,Antilles,Antilles
"antilles, maurice, la réunion",Antilles et Maurice et Réunion,Antilles & Mauritius & Reunion
"antilles, maurice, la réunion*",Antilles et Maurice et Réunion,Antilles & Mauritius & Reunion
"antilles, maurice, la réunion**",Antilles et Maurice et Réunion,Antilles & Mauritius & Reunion
anvers (belgique),Belgique (Anvers),Antwerp
arabia,Arabie,Arabia
arabia (by land),Arabie (par terre),Arabia (land)
arabia (by sea) and gulf ports,Arabie (par mer) et Golfe Persique (Ports),Arabia (sea) & Persian Gulf Ports
arabia (exclusive of aden),Arabie (sauf Aden),Arabia (other)
arabia (including arabian gulf ports),Arabie et Golfe Persique (Ports),Arabia & Persian Gulf Ports
arabia (land trade),Arabie (par terre),Arabia (land)
arabia (muscat),Arabie (Muscat),Muscat
arabia (or red sea ports),Arabie (Ports de la Mer Rouge),Red Sea Ports in Arabia
arabia : aden,Aden,Aden
arabia : eooria mooria islands,Arabia : Kooria Mooria Islands,Kooria Mooria Islands
arabia : kooria mooria islands,Arabia : Kooria Mooria Islands,Kooria Mooria Islands
arabia : muscat,Arabie (Muscat),Muscat
arabia : muscat territory and truckal oman,Arabie (Muscat et Trucal Oman),Muscat & United Arab Emirates (Trucial Oman)
arabia : other native states,Arabie (Autres Etats indépendants),Arabia (other)
arabia other native states,Arabie (Autres Etats indépendants),Arabia (other)
arabia other states,Arabie (Autre),Arabia (other)
"arabia, muscat",Arabie (Muscat),Muscat
"arabia, native states",Arabie (Etats indépendants),Arabia (other)
"arabia, other native states",Arabie (Autres Etats indépendants),Arabia (other)
"arabia, other states",Arabie (Autre),Arabia (other)
arabian and persian gulfs,Arabie et Golfe persique,Arabia & Persian Gulf Ports
arabian and persian gulfs and red sea,Arabie et Golfe persique et Mer Rouge,Arabia & Persian Gulf Ports & Red Sea
arabie,Arabie,Arabia
arabie*,Arabie,Arabia
"arabie, golfe persique",Arabie et Golfe persique,Arabia & Persian Gulf Ports
"arabie, perse",Arabie (Golfe persique),Arabia & Persian Gulf Ports
aracan,Birmanie (Aracan),Aracan
"aracan, ténassérim",Birmanie (Aracan et Ténassérim),Aracan & Tanintharyi Region
archangel,Archangel,Arkhangelsk
archipel,Archipel,Archipel
archipel indien,Archipel indien,Indian Archipelago
archipel oriental,Indes néerlandaises (Archipel Oriental),Indonesia (Dutch East Indies)
archipel soude,Archipel de la Sonde,Sunda Islands
argelia,Algérie,Algeria
argentina,Argentine,Argentina
argentine,Argentine,Argentina
argentine (confédération d'),Argentine,Argentina
argentine (la plata - port de buenos-ayres uniquement),Buenos Aires,Buenos Aires
argentine (république d'),Argentine,Argentina
argentine confederation,Argentine,Argentina
argentine epublic and uruguay and paraguay,Argentine et Uruguay et Paraguay,Argentina & Uruguay & Paraguay
argentine republic,Argentine,Argentina
argentine republic (including the atlantic coast of patagonia),Argentine,Argentina & Patagonia (Atlantic Coast)
argentine republic and uruguay,Argentine et Uruguay,Argentina & Uruguay
argentine republic and uruguay and paraguay,Argentine et Uruguay et Paraguay,Argentina & Uruguay & Paraguay
"argentine republic, other south america",Argentine et Amérique du sud (Autre),Argentina & Southern America (other)
"argentine republic, paraguay and uruguay",Argentine et Uruguay et Paraguay,Argentina & Uruguay & Paraguay
"argentine republic, uruguay and paraguay",Argentine et Uruguay et Paraguay,Argentina & Uruguay & Paraguay
"argentine, uruguay",Argentine et Uruguay,Argentina & Uruguay
arica,Chili (Arica),Arica
arica and tacna (chile),Chili (Arica et Tacna),Arica & Tacna
arménie turque (erzeoum),Arménie turque (Erzeoum),Erzurum
arracan,Birmanie (Aracan),Aracan
aruba et bonaire,Aruba et Bonaire,Aruba & Bonaire
ascension,Ascension,Ascension I.
ascension island,Ascension,Ascension I.
asia,Asie,Asia
asia generally,Asie (Autre),Asia (other)
asia minor,Asie mineure,Western Anatolia
asiatic russia,Russie d'Asie,Asian Russia
asie,Asie,Asia
asie mineure,Asie mineure,Western Anatolia
association allemande,Zollverein,Germany (Zollverein)
association commerciale allemande,Zollverein,Germany (Zollverein)
atlantic ocean,Océan atlantique,Atlantic Ocean
auh,Autriche-Hongrie,Austria-Hungary
auriche-hongrie,Autriche-Hongrie,Austria-Hungary
aurtiche,Autriche,Austria
australasia,Australie,Australia
australasia : fiji islands,Iles Fidji,Fiji
australasia : new south wales,Nouvelle-Galles du Sud,New South Wales
australasia : new zealand,Nouvelle-Zélande,New Zealand
australasia : queensland,Queensland,Queensland
australasia : south australia (including northern territory),Australie du Sud,Northern Territory & South Australia
australasia : tasmania,Tasmanie,Tasmania
australasia : total,Australie,Australia
australasia : victoira,Victoria,Victoria
australasia : west australia,Australie occidentale,Western Australia
australasia o nueva zelanda,Australie et Nouvelle-Zélande,Australia & New Zealand
australasia: new south wales,Nouvelle-Galles du Sud,New South Wales
australasia: new zealand,Nouvelle-Zélande,New Zealand
australasia: south australia,Australie du Sud,South Australia
australasia: tasmania,Tasmanie,Tasmania
australasia: victoria,Victoria,Victoria
australasia: western australia,Australie occidentale,Western Australia
australasie,Australie,Australia
australasie-australie ouest,Australie occidentale,Western Australia
australasie-autralie sud,Australie du Sud,South Australia
australasie-nle galles sud,Nouvelle-Galles du Sud,New South Wales
australasie-nle-zélande,Nouvelle-Zélande,New Zealand
australasie-queensland,Queensland,Queensland
australasie-tasmanie,Tasmanie,Tasmania
australasie-victoria,Victoria,Victoria
australia,Australie,Australia
australia (new south wales),Nouvelle-Galles du Sud,New South Wales
australia (queensland),Queensland,Queensland
australia (south australia including northern territory),Australie du Sud,Northern Territory & South Australia
australia (south australia),Australie du Sud,South Australia
australia (tasmania),Tasmanie,Tasmania
australia (total),Australie,Australia
australia (victoria),Victoria,Victoria
australia (western australia),Australie occidentale,Western Australia
australia : fiji islands,Iles Fidji,Fiji
australia : new south wales,Nouvelle-Galles du Sud,New South Wales
australia : new zealand,Nouvelle-Zélande,New Zealand
australia : queensland,Queensland,Queensland
australia : south australia,Australie du Sud,South Australia
australia : south australia (including northern territory),Australie du Sud,Northern Territory & South Australia
australia : tasmania,Tasmanie,Tasmania
australia : total,Australie,Australia
australia : victoira,Victoria,Victoria
australia : victoria,Victoria,Victoria
australia : west australia,Australie occidentale,Western Australia
australia : western australia,Australie occidentale,Western Australia
australia and new zealand,Australie et Nouvelle-Zélande,Australia & New Zealand
australia and new zealand (british empire),Australie et Nouvelle-Zélande,Australia & New Zealand
australia and new zeland,Australie et Nouvelle-Zélande,Australia & New Zealand
australia and tasmania,Australie et Tasmanie,Australia (other) & Tasmania
australia and tasmania (british oceania),Australie et Tasmanie,Australia (other) & Tasmania
australia o nueva holanda,Australie et Nouvelle-Hollande,Australia & Western Australia
australia other than new south wales,Australie (sauf Nouvelle Galles du Sud),Australia (other)
"australia, &c",Australie,Australia
"australia, new zealand",Australie et Nouvelle-Zélande,Australia & New Zealand
"australia, new zealand and new caledonia",Australie et Nouvelle-Zélande et Nouvelle-Calédonie,Australia & New Caledonia & New Zealand
"australia, new zealand, &c",Australie et Nouvelle-Zélande,Australia & New Zealand
"australia, new zealand, and tasmania",Australie et Tasmanie et Nouvelle-Zélande,Australia (other) & New Zealand & Tasmania
australiasia,Australie,Australia
australie,Australie,Australia
australie (hormis la nouvelle-zélande),Australie (sauf Nouvelle-Zélande),Australia
australie (victoria),Victoria,Victoria
australie anglaise,Australie,Australia
australie du sud,Australie du Sud,South Australia
australie et iles sandwich,Australie et Iles Sandwich,Australia & Hawaii
australie et nouvelle zélande,Australie et Nouvelle-Zélande,Australia & New Zealand
australie et nouvelle-zélande,Australie et Nouvelle-Zélande,Australia & New Zealand
australie et pacifique,Australie et Pacifique,Australia & Pacific Islands
australie et polynésie,Australie et Polynésie,Australia & Polynesia
australie méridionale,Australie du Sud,South Australia
australie occidentale,Australie occidentale,Western Australia
australie ouest,Australie occidentale,Western Australia
australie sud,Australie du Sud,South Australia
"australie, iles sandwich",Australie et Iles Sandwich,Australia & Hawaii
"australie, nle-hollande",Australie et Nouvelle-Hollande,Australia & Western Australia
austria,Autriche,Austria
austria - hungary,Autriche-Hongrie,Austria-Hungary
austria and hungary,Autriche-Hongrie,Austria-Hungary
austria hungary,Autriche-Hongrie,Austria-Hungary
austria-hungaria,Autriche-Hongrie,Austria-Hungary
austria-hungary,Autriche-Hongrie,Austria-Hungary
austrian possessions in italy,Italie autrichienne,Italian Austria
austrian territories,Territoires autrichiens,Austria-Hungary
"austrian territories (illyria, croatia and dalmatia)",Illyrie et Croatie et Dalmatie,Croatia & Dalmatia & Illyria
austro-hungary,Autriche-Hongrie,Austria-Hungary
autre afrique,Afrique (Autre),Africa (other)
autre afrique britannique,Afrique britannique (autre),British Africa (other)
autre amér. sud,Amérique du Sud (Autre),Southern America (other)
autre amérique,Amérique (Autre),America (other)
autre amérique britannique,Amérique britannique (Autre),British America (other)
autre amérique sud,Amérique du Sud (Autre),Southern America (other)
autre asie,Asie (Autre),Asia (other)
autre europe,Europe (Autre),Europe (other)
autre foreign west indies,Antilles (Autre),Antilles (other)
autre malaisie (britan),Malaisie (Autre),Malaysia (Malaya) (other)
autre malaisie (étrangère),Malaisie (Autre),Malaysia (Malaya) (other)
autre océanie,Océanie (Autre),Oceania
autre zollverein,Zollverein (Autre),"Germany (Zollverein, other)"
autres,Autres pays,Other countries
autres antilles,Antilles (Autre),Antilles (other)
autres colonies anglaise,Colonies britanniques (Autre),British Colonies (other)
autres colonies anglaises,Colonies britanniques (Autre),British Colonies (other)
autres colonies britanniques,Colonies britanniques (Autre),British Colonies (other)
"autres colonies portugaises (cap vert, sao thome, inde portugaise, macao, timor)",Cap Vert et Sao Tome-Principe et Inde portugaise et Macao et Timor,Cape Verde & Macao & Portuguese India (incl. Goa Diu Daman) & Portuguese Timor & Sao Tome-Principe
autres contrées,Autres pays,Other countries
autres contrées (principalement suède),Suède,Sweden
autres contrées d'afrique,Afrique (Autre),Africa (other)
autres contrées d'amérique méridionale,Amérique du Sud (Autre),Southern America (other)
autres contrées de turquie,Turquie (Autre),Turkey (other)
autres dominions et protectorats britan.,Colonies britanniques (Autre),British Colonies (other)
autres etats barbaresques,Etats Barbaresques (Autre),Barbary Coast (other)
autres etats d'italie,Italie (Autre),Italy (other)
autres états germaniques,Allemagne (Autre),Germany (other)
autres iles de l'océanie,Océanie (Autre),Oceania
autres îles de l'océanie,Océanie (Autre),Oceania
autres indes orientales britanniques,Indes britanniques orientales (Autre),British East Indies (other)
autres pays,Autres pays,Other countries
autres pays (afrique),Afrique (Autre),Africa (other)
autres pays (principalement d'europe),Europe (Autre),Europe (other)
autres pays afrique,Afrique (Autre),Africa (other)
autres pays d'afrique,Afrique (Autre),Africa (other)
autres pays d'amérique,Amérique (Autre),America (other)
autres pays d'asie,Asie (Autre),Asia (other)
autres pays d'europe,Europe (Autre),Europe (other)
autres pays d'europe et d'amérique,Europe (Autre) et Amérique (Autre),America (other) & Europe (other)
autres pays d'extrême-orient,Asie (Autre),Asia (other)
autres pays europe et levant,Europe (Autre) et Levant,Europe (other) & Levant
autres ports anglais,Grande-Bretagne (Autres ports),United Kingdom (other)
autres ports antilles,Antilles (Autres ports),Antilles Ports (other)
autres poss. brit. en asie,Asie britannique (Autre),British Asia (other)
autres possession sbritan.,Colonies britanniques (Autre),British Colonies (other)
autres possessions anglaises,Colonies britanniques (Autre),British Colonies (other)
autres possessions anglaises (surtout maurice et inde),Maurice et Indes britanniques,India & Mauritius
autres possessions britan.,Colonies britanniques (Autre),British Colonies (other)
autres possessions pays bas,Colonies hollandaises (Autre),Dutch Colonies (other)
autres possessions portugaises,Colonies portugaises (Autre),Portuguese Colonies (other)
autres possessions portugaises**,Colonies portugaises (Autre),Portuguese Colonies (other)
autres villes ou ports d'asie,Asie (Autre),Asia (other)
autres west indies,Antilles (Autre),Antilles (other)
"autrice-hongrie (trieste, venise et fiume)","Autriche-Hongrie (Trieste, Venise et Fiume)",Trieste & Republic of St. Mark & Fiume
autriche,Autriche,Austria
autriche - trieste,Autriche-Hongrie (Trieste),Trieste
autriche ( trieste),Autriche-Hongrie (Trieste),Trieste
autriche (etats d'allemagne et possessions en italie),Autriche-Hongrie (Etats d'Allemagne et possessions en Italie),Austria-Hungary (German States and Italian possessions)
autriche (fiume),Autriche-Hongrie (Fiume),Fiume
autriche (ports de l'adriatique),Autriche-Hongrie (Ports de l'Adriatique),Austria-Hungary Ports (Adriatic)
autriche (trieste et venise),Autriche-Hongrie (Trieste et Venise),Republic of St. Mark & Trieste
autriche (trieste),Autriche-Hongrie (Trieste),Trieste
autriche (venise),Autriche-Hongrie (Venise),Republic of St. Mark
autriche et allemagne,Autriche-Hongrie et Allemagne,Austria-Hungary & Germany
autriche et autres etats allemands,Autriche-Hongrie et Allemagne,Austria-Hungary & Germany
autriche et cracovie,Autriche-Hongrie et Cracovie,Austria-Hungary & Cracow
autriche et dépendances,Autriche-Hongrie et dépendances,Austria-Hungary
autriche et lombardie,Autriche-Hongrie et Lombardie,Austria-Hungary & Lombardy
autriche et royaume lombard vénitien,Autriche-Hongrie et Lombardie-Vénétie,Austria-Hungary & Lombardy-Venetia
autriche et ses dépendances,Autriche-Hongrie et dépendances,Austria-Hungary
autriche hongrie,Autriche-Hongrie,Austria-Hungary
autriche**,Autriche,Austria
autriche-hongrie,Autriche-Hongrie,Austria-Hungary
autriche-hongrie (fiume),Autriche-Hongrie (Fiume),Fiume
"autriche-hongrie (fiume, trieste)",Autriche-Hongrie (Fiume et Trieste),Fiume & Trieste
autriche-hongrie (trieste),Autriche-Hongrie (Trieste),Trieste
"autriche-hongrie (trieste, venise et fiume)","Autriche-Hongrie (Trieste, Venise et Fiume)",Trieste & Republic of St. Mark & Fiume
autriche-hongrie (venise),Autriche-Hongrie (Venise),Republic of St. Mark
autriche-hongrie*,Autriche-Hongrie,Austria-Hungary
autriche-hongrie**,Autriche-Hongrie,Austria-Hungary
autriche-hongrire,Autriche-Hongrie,Austria-Hungary
azoren,Açores,Azores (Western Isles)
azores,Açores,Azores (Western Isles)
azores (portugal),Açores,Azores (Western Isles)
azores and madeira islands,Açores et Madère,Azores (Western Isles) & Madeira Isles
azores islands in west afrika,Açores,Azores (Western Isles)
"azores, cape verde, and madeira islands",Açores et Madère et Cap Vert,Azores (Western Isles) & Cape Verde & Madeira Isles
"azores, madeira, &c",Açores et Madère et Cap Vert,Azores (Western Isles) & Cape Verde & Madeira Isles
"azores, madeira, and cap de verd islands",Açores et Madère et Cap Vert,Azores (Western Isles) & Cape Verde & Madeira Isles
"azores, madeira, and cap de verde islands",Açores et Madère et Cap Vert,Azores (Western Isles) & Cape Verde & Madeira Isles
badische zollauschlüsse,Badische Zollauschlüsse,Baden
