Polity Federico-Tena,ricname,rictype,cow,new,continent,part_of_country
Sierra Leone,Sierra Leone,country,,,,
Sikkim,Sikkim,country,761,x,Asia,
South Africa,South Africa,country,,,,
Spain,Spain,country,,,,
Spanish Guinea,Equatorial Guinea (Spanish Guinea),country,411,x,Africa,
St. Barthelemy (Norvegian Colonies),St. Barthelemy,country,,,,
St. Helena,St. Helena,country,,,,
St. Vicente (Winward Island),St. Vincent and the Grenadines,country,,,,
St.Lucia (Winward Island),St. Lucia,country,,,,
St.Pierre e Michelon,St. Pierre and Miquelon,country,,,,
Sudan (Anglo-Egyptian Sudan),Sudan (Anglo-Egyptian),country,,,,
Surinam (Duch Guayana),Surinam,country,,,,
Swaziland,Swaziland,country,,,,
Sweden,Sweden,country,,,,
Switzerland,Switzerland,country,,,,
Syria and Lebanon,Syria & Lebanon,group,,,,
Tanganica (German East Africa),Tanzania (Tanganyika) (German East Africa),country,,,,
Togo (German West Africa),Togo (French Togoland),country,,,,
Trinidad & Tobago (Winward Island),Trinidad and Tobago,country,,,,
Tunisia,Tunisia,country,,,,
Turk Island,Turks and Caicos Is.,country,,,,
United Kingdom,United Kingdom,country,,,,
United states,United States of America,country,,,,
Uruguay,Uruguay,country,,,,
US settlement Oceania,United States of America Settlement in Oceania,colonial_area,,x,Oceania,United States of America
Venezuela,Venezuela,country,,,,
Zanzibar Isl.,Zanzibar,country,,,,
