RICname,type,continent,COW_code,slug,part_of_country,wikidata,lat,lng
Chittagong,city/part_of,Asia,,Chittagong,India,,,
Dalny,city/part_of,Asia,,,Japan,,,
Bali,country,Asia,8541,Bali,,Q4648,-8.335,115.0880555556
Latvia,country,Europe,367,Latvia,,Q211,57,25
Balaklava,city/part_of,Europe,,Balaklava,Russia/USSR,,,
Wallachia,country,Europe,3362,Wallachia,,Q171393,44.4166666667,26.1
French West Africa & Cameroun (French Cameroons) & Togo (French Togoland),group,Africa,,,,,8.869681666666667,2.3476593333333327
North-West Africa,geographical_area,Africa,,North-WestAfrica,,,,
Fiume & Italy,group,Europe,,,,,43.914861111099995,13.4661111111
Tetuan,country,Africa,6030,Tetuan,,Q185157,35.5666666667,-5.3666666667
Viceroyalty of La Plata & Uruguay,group,America,,ViceroyaltyofLaPlata_Uruguay,,,-33.70000016665,-57.52500000000001
San Sebastián,city/part_of,Europe,,SanSebastián,Spain,,,
Baltiysk (Pillau),city/part_of,Europe,,,Prussia,,,
Switzerland (by France and Hamburg),city/part_of,Europe,,SwitzerlandbyFranceandHamburg,Switzerland,,,
Berbera & Bulhar,group,Africa,,Berbera_Bulhar,,,,
Gozo & Malta,group,Europe,,Gozo_Malta,,,35.8833333333,14.500000000000002
Cyprus,country,Europe,352,Cyprus,,Q229,35,33
Eastern Rumelia,country,Europe,3551,EasternRumelia,,Q459780,42.1421,24.7499
Corfu & Malta,group,Europe,,Corfu_Malta,,,37.7536111111,17.16
Cap-Haïtien,city/part_of,America,,Cap-Haïtien,Haiti,,,
Asia (other),geographical_area,Asia,,Asiaother,,,,
Palestine & Syria,group,Asia,,Palestine_Syria,,,33.4978473889,36.91022205555
Bahamas & Turks and Caicos Is.,group,America,,Bahamas_TurksandCaicosIs.,,,22.725,-73.99166666665002
Argentina Ports,city/part_of,America,,,Argentina,,,
Antilles & Central America & Mexico,geographical_area,America,,Antilles_CentralAmerica_Mexico,,,,
Portuguese Asia,colonial_area,Asia,,PortugueseAsia,Portugal,,,
Belgian Africa,colonial_area,Africa,,,Belgium,,,
Gozo,city/part_of,Europe,,,Malta,,,
France (Foreign produce),city/part_of,Europe,,,France,,,
Arabia (Asia),geographical_area,Asia,,,,,,
Algeria & France,group,World,,Algeria_France,,,37.5,1.5000000000000002
Colombia (Gran Colombia) & Venezuela,group,America,,ColombiaGranColombia_Venezuela,,,6.000000000000001,-70.5
Bailul,city/part_of,Africa,,,Eritrea,,,
Central America & Mexico,geographical_area,America,,CentralAmerica_Mexico,,,,
Guyana (Br. Guiana) & French Guyana & Surinam,group,America,,GuyanaBr.Guiana_FrenchGuyana_Surinam,,,4.577397666666667,-56.10553566666667
Ambon Island,city/part_of,Asia,,AmbonIsland,Indonesia (Dutch East Indies),,,
Portuguese East Africa,colonial_area,Africa,,PortugueseEastAfrica,Portugal,,,
Arakan & Bago (Pegu) & Mawlamyine & Rangoon,group,Asia,,,,,,
Cochin China & Kampuchea (Cambodia),group,Asia,,CochinChina_KampucheaCambodia,,,13.7775,107.97
Species,,,,Species,,,,
Arabia & Persian Gulf Ports & Red Sea,geographical_area,Asia,,,,,,
Thrace,geographical_area,Europe,,,,,,
North Sea,geographical_area,Europe,,NorthSea,,,,
Ontario (Upper Canada) & Quebec (Lower Canada),group,America,,OntarioUpperCanada_QuebecLowerCanada,,,51.0,-78.5
Sungai Petani,city/part_of,Asia,,SungaiPetani,Malaysia (Malaya),,,
British Asia (other),colonial_area,Asia,,BritishAsiaother,United Kingdom,,,
World (via Altona & Holstein & Schleswig),geographical_area,World,,WorldviaAltona_Holstein_Schleswig,,,,
"Saudi Arabia (Kingdom of Hejaz and Nedj) & Yemen Arab Republic (North Yemen, Kingdom of Yemen)",group,Asia,,,,,19.535694611100002,44.16166683335
British World,geographical_area,World,,BritishWorld,,,,
Java & Madura Island,group,Asia,,Java_MaduraIsland,,,,
German Ports,city/part_of,Europe,,,Germany (Zollverein),,,
Maranhão,city/part_of,America,,Maranhão,Brazil,,,
Puerto Rico & St. Thomas,group,America,,PuertoRico_St.Thomas,,,18.25,-66.5
Kamchatka,city/part_of,Asia,,Kamchatka,Russia/USSR,,,
Dutch South West Africa,colonial_area,Africa,,,Netherlands,,,
Fernando Po (Bioko),country,Africa,413,FernandoPoBioko,,Q205022,3.5,8.7
Newfoundland,country,America,21,Newfoundland,,Q2003,53,-60
Port-au-Prince,city/part_of,America,,Port-au-Prince,Haiti,,,
Portuguese Africa (other),colonial_area,Africa,,PortugueseAfricaother,Portugal,,,
British Cameroons & Nigeria,group,Africa,,,,,6.583333500000001,8.616666500000001
Malaysia (Malaya) (other),city/part_of,Asia,,MalaysiaMalayaother,Malaysia (Malaya),,,
Chile & Patagonia (Pacific Coast),group,America,,,,,-33.0,-71.0
Aruba & Bonaire,group,America,,Aruba_Bonaire,,,12.347197931650001,-69.11211194000002
Australia & Cape Colony & Mauritius,group,World,,Australia_CapeColony_Mauritius,,,-27.06666666666667,70.83333333333333
Mawlamyine & Rangoon,group,Asia,,Mawlamyine_Rangoon,,,,
Nicaragua,country,America,93,Nicaragua,,Q811,13,-85
Tuscany,country,Europe,337,Tuscany,,Q1273,43.35,11.0166666667
Ionian Is.,country,Europe,3349,IonianIs.,,Q170295,38.5,20.5
Lucca & Papal States,group,Europe,,Lucca_PapalStates,,,42.877,11.484833333350002
Canada & Newfoundland,group,America,,Canada_Newfoundland,,,54.5,-84.49999999999999
Indonesia (Dutch East Indies),country,Asia,850,IndonesiaDutchEastIndies,,Q252,-2,118
British Columbia & Rupert's Land,group,America,,BritishColumbia_Rupert'sLand,,,55.75,-108.39999999999999
Jakarta (Batavia) & Singapore,group,Asia,,JakartaBatavia_Singapore,,,1.3,103.8
Mosul,city/part_of,Asia,,Mosul,Iraq (Mesopotamia),,,
Faeroe Is. & Greenland,group,World,,FaeroeIs._Greenland,,,66.9849722222,-23.4222402778
Chinese Treaty Ports,city/part_of,Asia,,,China (People's Republic of China),,,
Panama Canal Zone,country,America,96,PanamaCanalZone,,Q498979,9.1176694444,-79.7201666667
German West Africa,colonial_area,Africa,,GermanWestAfrica,Germany,,,
Guinea Coast,geographical_area,Africa,,GuineaCoast,,,,
Trengganu,country,Asia,8225,Trengganu,,Q189701,4.75,103
Spanish Africa (other),colonial_area,Africa,,,Spain,,,
British America (Atlantic),colonial_area,America,,BritishAmericaAtlantic,United Kingdom,,,
Albania & Fiume & Yugoslavia/Serbia,group,Europe,,,,,43.71675925926666,18.298148148133333
Chafarinas,country,Africa,6063,Chafarinas,,Q130574,35.1833333333,-2.4333333333
Spain & Italy & Europe (other),geographical_area,Europe,,Spain_Italy_Europeother,,,,
Middle-East,geographical_area,Asia,,,,,,
Beira,city/part_of,Africa,,Beira,Mozambique,,,
Central America (Insular) (other),geographical_area,America,,,,,,
Pacific Islands & Peru,geographical_area,World,,PacificIslands_Peru,,,,
Gijón,city/part_of,Europe,,Gijón,Spain,,,
Zanzibar,country,Africa,511,Zanzibar,,Q1774,-6.1333333333,39.3166666667
Baghdad,city/part_of,Asia,,Baghdad,Iraq (Mesopotamia),,,
Leeward Is.,country,America,1063,LeewardIs.,,Q1796551,17.0833333333,-61.8
Asia (West),geographical_area,Asia,,,,,,
Australia & New Zealand,group,Oceania,,Australia_NewZealand,,,-34.6,155.5
China (People's Republic of China) & India & Japan,group,Asia,,ChinaPeople'sRepublicofChina_India_Japan,,,30.666666666666668,105.33333333333333
Australia & Tasmania,group,Oceania,,,,,-35.0,142.0
Ukraine,country,Europe,369,,,Q212,49,32
Portuguese Africa & Portuguese India (incl. Goa Diu Daman),group,World,,PortugueseAfrica_PortugueseIndiaincl.GoaDiuDaman,,,14.701000000000002,71.169
Mexico & Venezuela,group,America,,Mexico_Venezuela,,,15.5,-84.5
Primorsk (Fischhausen),city/part_of,Europe,,,Prussia,,,
Rupert's Land,country,America,1019,Rupert'sLand,,Q738395,57,-92.3
South Africa (Domestic produce),city/part_of,Africa,,,South Africa,,,
Japanese China Leased Territory,colonial_area,Asia,,,Japan,,,
Crimea Ports,city/part_of,Europe,,,Russia/USSR,,,
Sri Lanka (Ceylon) Dependencies,city/part_of,Asia,,,Sri Lanka (Ceylon),,,
Morocco & Tangier,group,Africa,,,,,33.8923611111,-5.90625
Kerguelen Is.,country,Antarctic,9973,,,Q46772,-49.25,69.1666666667
Asian Russia,city/part_of,Asia,,AsianRussia,Russia/USSR,,,
Genoa & Livorno,group,Europe,,Genoa_Livorno,,,,
Antilles (other) & Cuba,group,America,,Antillesother_Cuba,,,22.0,-79.5
Czechoslovakia,country,Europe,315,Czechoslovakia,,Q33946,50.0833333333,14.4166666667
Tahiti,country,Oceania,9606,Tahiti,,Q42000,-17.6666666667,-149.4666666667
Morea,city/part_of,Europe,,,Greece,,,
States of America (other),geographical_area,America,,StatesofAmericaother,,,,
Ionian Is. & United Kingdom,group,Europe,,IonianIs._UnitedKingdom,,,46.55,9.25
Gambia,country,Africa,420,Gambia,,Q1005,13.5,-15.5
Kniphausen & Oldenburg,group,Europe,,Kniphausen_Oldenburg,,,53.1438888889,8.2138888889
Chennai (Madras) & Kolkata (Calcutta),group,Asia,,ChennaiMadras_KolkataCalcutta,,,,
Montevideo,city/part_of,America,,Montevideo,Uruguay,,,
Egypt/United Arab Republic & Libya (Tripolitania Cyrenaica Fezzan) & Morocco & Tunisia,group,Africa,,,,,30.333333333333332,11.666666666666668
Massa and Carrara,city/part_of,Europe,,MassaandCarrara,Tuscany,,,
Cyprus & Malta & Yugoslavia/Serbia,group,Europe,,Cyprus_Malta_YugoslaviaSerbia,,,38.56796296296667,22.654074074066664
Savoy,city/part_of,Europe,,,France,,,
Turkey & Dodecanese Is. (Aegean Is.),group,World,,Turkey_DodecaneseIs.AegeanIs.,,,37.686499999999995,31.609
Independant Indian Ocean Islands (other),geographical_area,Oceania,,IndependantIndianOceanIslandsother,,,,
China (People's Republic of China) & Cochin China,group,Asia,,ChinaPeople'sRepublicofChina_CochinChina,,,24.977499999999996,106.96999999999998
Johore & Kedah & Kelantan & Perlis & Trengganu,group,Asia,,Johore_Kedah_Kelantan_Perlis_Trengganu,,,4.286833200571591,102.26507979928432
Indian Archipelago,geographical_area,Asia,,IndianArchipelago,,,,
Algeria & France & French Colonies (other),group,World,,Algeria_France_FrenchColoniesother,,,37.5,1.5000000000000002
Tasmania,country,Oceania,906,Tasmania,,Q34366,-42,147
American America,colonial_area,America,,,United States of America,,,
Austria-Hungary Ports,city/part_of,Europe,,,Austria-Hungary,,,
***NA,,,,NOTAVAILABLE,,,,
Romagna,city/part_of,Europe,,Romagna,Papal States,,,
Saudi Arabia (Kingdom of Hejaz and Nedj),country,Asia,670,,,Q851,23.716667,44.116667
Arctic,geographical_area,Arctic,,Arctic,,,,
British Colonies (other),colonial_area,World,,BritishColoniesother,United Kingdom,,,
Georgia,country,Europe,372,,,Q230,42.0166694444,43.7333305556
Saint-Louis,city/part_of,Africa,,,Senegal,,,
Beirut & Egypt/United Arab Republic,group,World,,Beirut_EgyptUnitedArabRepublic,,,27.0,29.000000000000004
Persian Gulf Ports,geographical_area,Asia,,,,,,
Macao & Portuguese Timor,group,Asia,,Macao_PortugueseTimor,,,6.808333333349999,119.56666650000001
Aden & Algeria & Egypt/United Arab Republic & Iran (Persia) & Asian Turkey,group,World,,Aden_Algeria_EgyptUnitedArabRepublic_IranPersia_AsianTurkey,,,24.266666666666666,33.01111111109999
Izmir (Smyrna),city/part_of,Asia,,IzmirSmyrna,Turkey,,,
United States of America (Foreign produce),city/part_of,America,,,United States of America,,,
Philippines & Sulu Sultanate,group,Asia,,Philippines_SuluSultanate,,,9.0259722222,122.0009722222
Hamburg & Lüneburg,group,Europe,,Hamburg_Lüneburg,,,53.55,10.0
East Africa Ports (other),geographical_area,Africa,,,,,,
Puerto Rico,country,America,6,PuertoRico,,Q1183,18.25,-66.5
Arabia (other),geographical_area,Asia,,Arabiaother,,,,
Senegal & Goree,group,Africa,,Senegal_Goree,,,14.516805722200003,-15.840833166649999
Northwest Territories,city/part_of,America,,,Canada,,,
Sweden & Swedish Dependencies,group,World,,,,,61.0,14.999999999999998
Nepal,country,Asia,790,,,Q837,28,84
China (People's Republic of China),country,Asia,710,ChinaPeople'sRepublicofChina,,Q148,35,103
Egypt/United Arab Republic Ports (other),city/part_of,Africa,,,Egypt/United Arab Republic,,,
Algeria (other),city/part_of,Africa,,,Algeria,,,
Southern Russia/USSR,city/part_of,Europe,,,Russia/USSR,,,
Liechtenstein,country,Europe,223,,,Q347,47.145,9.553889
Guinea (French Guinea) (Rivieres du Sud),country,Africa,438,GuineaFrenchGuineaRivieresduSud,,Q797433,9.5091666667,-13.7122222222
Bahrain,country,Asia,692,Bahrain,,Q398,26.0675,50.551111
France & French Mediterranean,group,Europe,,France_FrenchMediterranean,,,47.0,2.0
Khiva,country,Asia,7030,Khiva,,Q486195,41.3783333333,60.3638888889
French Colonies & Dutch Colonies,group,World,,,,,,
British Asia & British Oceania,group,World,,BritishAsia_BritishOceania,,,,
Russia (Pacific Ports),city/part_of,Europe,,,Russia/USSR,,,
Puerto Rico & Virgin Islands (Danish West Indies),group,America,,,,,18.2875,-65.66749999999999
Canary Is. & Cape Colony & Malagasy Republic (Madagascar),group,Africa,,CanaryIs._CapeColony_MalagasyRepublicMadagascar,,,-8.154666666666666,16.417
Essaouira (Mogador) & Safi,group,Africa,,EssaouiraMogador_Safi,,,,
South East Africa,geographical_area,Africa,,SouthEastAfrica,,,,
Ajman,country,Asia,6965,,,Q159477,25.4,55.5
Cuba & Philippines & Puerto Rico,group,America,,Cuba_Philippines_PuertoRico,,,17.416666666666668,-7.666666666666661
German China Leased Territory,colonial_area,Asia,,,Germany,,,
Portuguese Equatorial West Africa,colonial_area,Africa,,,Portugal,,,
Malagasy Republic (Madagascar) & Mayotte & Nossi Be,group,Africa,,,,,-15.386574074100002,46.796111111100004
Chania,city/part_of,Europe,,Chania,Egypt/United Arab Republic,,,
Hanse Towns & German Ports,group,Europe,,,,,53.869,10.223
Morocco & Tunisia,group,Africa,,Morocco_Tunisia,,,33.0,1.9999999999999996
Samoa,country,Oceania,9900,Samoa,,Q683,-14,-172
Russia (Black Sea),city/part_of,Europe,,RussiaBlackSea,Russia/USSR,,,
Libya (Tripolitania Cyrenaica Fezzan) & Tunisia,group,Africa,,LibyaTripolitaniaCyrenaicaFezzan_Tunisia,,,30.5,13.5
Dubai,country,Asia,6962,,,Q613,25.2644444444,55.3116666667
Karachi & Mumbai (Bombay) & other Ports,group,Asia,,,,,,
America (other),geographical_area,America,,Americaother,,,,
Assam,country,Asia,7572,,,Q1164,26,93
China (People's Republic of China) & Japan,group,Asia,,ChinaPeople'sRepublicofChina_Japan,,,35.0,119.5
Oregon Country,country,America,1016,OregonCountry,,Q388164,48,-122
Piraeus,city/part_of,Europe,,Piraeus,Greece,,,
Norfolk I.,country,Oceania,9004,,,Q31057,-29.0333333333,167.9497222222
China (People's Republic of China) & Hong Kong,group,Asia,,ChinaPeople'sRepublicofChina_HongKong,,,28.63916666665,108.57930555555001
Mozambique,country,Africa,541,Mozambique,,Q1029,-19,35
European Turkey & Montenegro & Romania & Yugoslavia/Serbia,group,Europe,,EuropeanTurkey_Montenegro_Romania_YugoslaviaSerbia,,,44.529074185199995,21.55962974073333
Channel Is.,city/part_of,Europe,,ChannelIs.,United Kingdom,,,
Denmark & Iceland,group,Europe,,Denmark_Iceland,,,60.5,-4.5
Port Sudan,city/part_of,Africa,,,Sudan (Anglo-Egyptian),,,
Riau,country,Asia,8544,Riau,,Q2175,0.5333333333,101.45
China (People's Republic of China) & French Indochina,group,Asia,,ChinaPeople'sRepublicofChina_FrenchIndochina,,,28.016666666650003,104.425
Finland & Russia/USSR,group,Europe,,Finland_RussiaUSSR,,,63.50000000000001,63.50000000000001
Natuna Islands,city/part_of,Asia,,NatunaIslands,Indonesia (Dutch East Indies),,,
Bhutan & Nepal,group,Asia,,,,,27.725,87.25
Cuba & Spain,group,World,,Cuba_Spain,,,31.0,-41.25
Lebanon,country,Asia,660,Lebanon,,Q822,33.833333,35.766667
Austria-Hungary & Cracow,group,Europe,,Austria-Hungary_Cracow,,,49.13069444445,18.1436111111
Northern Ireland,city/part_of,Europe,,,United Kingdom,,,
Mongolia,country,Asia,712,Mongolia,,Q711,47,104
Black Sea & Levant,geographical_area,World,,,,,,
Europe,geographical_area,Europe,,Europe,,,,
Rio de Janeiro,city/part_of,America,,RiodeJaneiro,Brazil,,,
Algeria & Morocco & Libya (Tripolitania Cyrenaica Fezzan) & Tunisia,group,Africa,,Algeria_Morocco_LibyaTripolitaniaCyrenaicaFezzan_Tunisia,,,30.37704918032787,6.065573770491804
British Cameroons,country,Africa,472,BritishCameroons,,Q1028835,4.166667,9.233333
American China,colonial_area,Asia,,AmericanChina,United States of America,,,
India & Straits Settlements,group,Asia,,India_StraitsSettlements,,,11.68333333335,90.40000000000002
Russia/USSR & Poland,group,Europe,,RussiaUSSR_Poland,,,56.99999999999999,59.5
Chennai (Madras),city/part_of,Asia,,ChennaiMadras,India,,,
Curacao & Jamaica & Trinidad and Tobago,group,America,,Curacao_Jamaica_TrinidadandTobago,,,13.671111111133332,-69.29444444446666
Costa Rica & Guatemala & Honduras,group,America,,CostaRica_Guatemala_Honduras,,,13.377777666666667,-87.02222233333332
Paraguay,country,America,150,Paraguay,,Q733,-23.5,-58
Denmark & Greenland & Iceland,group,World,,Denmark_Greenland_Iceland,,,64.33333333333333,-16.333333333333332
Swedish America,colonial_area,America,,SwedishAmerica,Sweden,,,
Uganda,country,Africa,500,Uganda,,Q1036,1.28,32.39
Angola,country,Africa,540,Angola,,Q916,-12.35,17.35
Cyrenaica & Tripolitania,group,Africa,,Cyrenaica_Tripolitania,,,32.715158,17.1989665
East Africa (other),geographical_area,Africa,,EastAfricaother,,,,
Cyprus & Palestine,group,World,,,,,33.3895138889,34.11855555555
East Indies & Thailand (Siam),geographical_area,Asia,,EastIndies_ThailandSiam,,,,
New Caledonia and Dependencies,country,Oceania,930,NewCaledoniaandDependencies,,Q33788,-21.25,165.3
Macquarie I.,country,Oceania,9006,,,Q29971,17.0833333333,-61.8
Costa Rica & Guatemala & Honduras & Nicaragua,group,America,,,,,13.193753145428671,-86.63577083873352
Japan Islands,city/part_of,Asia,,JapanIslands,Japan,,,
Alsace-Lorraine,city/part_of,Europe,,,Germany,,,
Palau,country,Oceania,986,,,Q695,7.466667,134.55
Berbera,city/part_of,Africa,,,Somalia,,,
Africa (other),geographical_area,Africa,,Africaother,,,,
Demerara and Essequibo,country,America,1113,,,Q5255160,6.8121,-58.1701
Japan & Republic of China (Taiwan) (Formosa) & Kwangtung Territory (Leased),group,Asia,,,,,27.46666666666667,123.5
Antilles,geographical_area,America,,Antilles,,,,
Europe & Levant,geographical_area,World,,Levant_Europe,,,,
Monaco,country,Europe,221,Monaco,,Q235,43.7333333333,7.4166666667
Italian East Africa,colonial_area,Africa,,ItalianEastAfrica,Italy,,,
French West Africa,country,Africa,430,FrenchWestAfrica,,Q210682,14.492626,-5.660918
Hamburg & Germany (Zollverein),group,Europe,,Hamburg_GermanyZollverein,,,52.241,10.6325
Busia,city/part_of,Africa,,Busia,Kenya (British East Africa Protectorate),,,
Canada (Atlantic Coast),city/part_of,America,,,Canada,,,
Channel Is. & Isle of Man,group,Europe,,ChannelIs._IsleofMan,,,,
Faeroe Is.,country,Europe,11,FaeroeIs.,,Q4628,61.9699444444,-6.8444805556
United Kingdom & Channel Is.,group,Europe,,,,,54.6,-2.0
Nicobar Is. & Tranquebar and Serampore,group,Asia,,,,,9.44958333335,86.67652778
France (Mediterranean Coast),city/part_of,Europe,,,France,,,
Japan & Korea (Chosen),group,Asia,,,,,36.65833333335,131.61666666665
Paraguay & Uruguay,group,America,,,,,-28.116666666650005,-57.32500000000001
Fujairah,country,Asia,6968,,,Q4091,25.133333,56.333333
Bintan Island,city/part_of,Asia,,,Indonesia (Dutch East Indies),,,
Bremen & Hamburg,group,Europe,,Bremen_Hamburg,,,53.44863333335,9.29565
Altona,city/part_of,Europe,,Altona,Holstein,,,
East Frisia,city/part_of,Europe,,EastFrisia,Prussia,,,
Canada & Central America & United States of America,geographical_area,America,,Canada_CentralAmerica_UnitedStatesofAmerica,,,,
Rotterdam,country,Europe,360,Rotterdam,,Q34370,51.9225,4.47917
Lisbon,city/part_of,Europe,,Lisbon,Portugal,,,
Davis Strait & Greenland,group,America,,DavisStrait_Greenland,,,72.0,-40.0
Halifax,city/part_of,America,,Halifax,United States of America,,,
Mumbai (Bombay) & other Ports,group,Asia,,,,,,
Serbia,country,Europe,345S,Serbia,,Q403,43.95,20.9333333333
Cape Colony & East Indies & Mauritius,group,World,,CapeColony_EastIndies_Mauritius,,,-26.6,37.75
German Colonies,colonial_area,World,,GermanColonies,Germany,,,
Isle of Man,city/part_of,Europe,,,United Kingdom,,,
Iraq (Mesopotamia) & Kuwait,group,Asia,,,,,31.083333500000002,45.300000000000004
Southern Africa,geographical_area,Africa,,SouthernAfrica,,,,
St. Pierre and Miquelon & French Guyana,group,America,,St.PierreandMiquelon_FrenchGuyana,,,25.41193,-54.63747
Trinidad and Tobago,country,America,52,TrinidadandTobago,,Q754,10.6666666667,-61.5166666667
Comoros,country,Africa,581,,,Q970,-12.183333,44.233333
Saxe Altenburg,country,Europe,262,,,Q158151,50.9785,12.4339
Gibraltar & Malta,group,Europe,,Gibraltar_Malta,,,36.01054166665,4.577319444450001
Russian North-East Asia,colonial_area,Asia,,RussianNorth-EastAsia,Russia/USSR,,,
South West Africa (German West Africa) (Namibia) & Kamerun & German Togoland,group,Africa,,,,,-4.230366666666667,9.290933333333333
European America,colonial_area,America,,EuropeanAmerica,,,,
China (People's Republic of China) & East India Company & Sri Lanka (Ceylon),group,Asia,,ChinaPeople'sRepublicofChina_EastIndiaCompany_SriLankaCeylon,,,21.0,92.0
Sund,city/part_of,Europe,,Sund,Denmark,,,
St. Marie de Madagascar & Mayotte & Nossi Be,group,Africa,,St.MariedeMadagascar_Mayotte_NossiBe,,,-14.331018518533334,47.76833333333334
Transvaal,country,Africa,563,Transvaal,,Q190959,-25,30
Oslo (Christiana),city/part_of,Europe,,OsloChristiana,Norway,,,
Philadelphia,city/part_of,America,,Philadelphia,United States of America,,,
Arabia & Persian Gulf Ports,geographical_area,Asia,,,,,,
Egypt/United Arab Republic,country,Africa,651,EgyptUnitedArabRepublic,,Q79,27,29
Egypt/United Arab Republic & Libya (Tripolitania Cyrenaica Fezzan),group,Africa,,EgyptUnitedArabRepublic_LibyaTripolitaniaCyrenaicaFezzan,,,27.0,22.999999999999996
Dutch Asia & Dutch Oceania,group,World,,DutchAsia_DutchOceania,,,,
Zambia (Northern Rhodesia) & Zimbabwe (Rhodesia) (Southern Rhodesia),group,Africa,,,,,-16.5666666667,28.825
Bassein River,city/part_of,Asia,,BasseinRiver,Burma (Myanmar),,,
