original_name,RICname
afrique equator francaise,French Equatorial Africa
afrique équatoriale,French Equatorial Africa
afrique équatoriale et afrique occidentale françaises,French Equatorial Africa & French West Africa
afrique equatoriale franç.,French Equatorial Africa
afrique equatoriale francaise,French Equatorial Africa
afrique equatoriale française,French Equatorial Africa
afrique espagnole,Spanish Africa
afrique et açores,Azores (Western Isles) & Western Africa
afrique et iles,Africa
afrique francaise,French Africa
afrique française,French Africa
afrique italienne,Italian Africa
afrique occiden anglaise,British Western Africa
afrique occident. francaise,French West Africa
afrique occidentale,Western Africa
afrique occidentale anglaise,British Western Africa
afrique occidentale francaise,French West Africa
afrique occidentale française,French West Africa
"afrique occidentale, cap",Western Africa
afrique orient allem (occ anglaise),Tanzania (Tanganyika)
afrique orient allem (occ belge,Ruanda-Urundi
afrique orientale,Eastern Africa
afrique orientale allem (occup anglais),Tanzania (Tanganyika)
afrique orientale allem (occup belge),Ruanda-Urundi
afrique orientale allemande,German East Africa
afrique orientale allemande (occupation anglaise),Tanzania (Tanganyika)
afrique orientale allemande (occupation belge),Ruanda-Urundi
afrique orientale anglaise,British Eastern Africa
afrique portugaise,Portuguese Africa
afrique sud,South Africa
afrique sud-occidentale,Namibia (South West Africa) (German South West Africa)
afrique-equatoriale française,French Equatorial Africa
"afrique, cap bonne espérance",Cape Colony (Cape of Good Hope)
afrique**,Africa
afryka pólnocna francuska,French Africa (other)
afryka poludniowo-zachodnia,Namibia (South West Africa) (German South West Africa)
afryka równikowa francuska,French Equatorial Africa
agypten,Egypt Arab Republic (Egypt)
ägypten,Egypt Arab Republic (Egypt)
ah,Austria-Hungary (Austrian Empire)
aigiptas,Egypt Arab Republic (Egypt)
aiti,Haiti
alasca,Alaska
alaska,Alaska
alaska ; st. pierre og miquelon,Alaska & St. Pierre and Miquelon
albania,Albania
albánia,Albania
albȃnia,Albania
albania og andorra,Albania & Andorra
albanie,Albania
albanië,Albania
albanie (scutari),Shkodër
albanien,Albania
albanija,Albania
albanja,Albania
alboran,Alboran Island
"alemagne, belgique, hollande",Belgium & Germany (Zollverein) & Netherlands
alemanha,Germany (Zollverein)
alemania,Germany (Zollverein)
alep,Aleppo
alexandre,Alexandria
alexandria,Alexandria
alexandria (egypt),Alexandria
alexandrie,Alexandria
alger,Algiers
alger et bone,Algiers & Annaba (Bône)
alger med öfriga kusten af n. afrika,Barbary Coast
alger och öfriga kusten af norra afrika,Barbary Coast
"alger, etats-barbaresques et côte d'afrique",Africa Coast & Barbary Coast
algeria,Algeria (Regency of Algiers)
algéria,Algeria (Regency of Algiers)
algeria (france),Algeria (Regency of Algiers)
algeria and morocco,Algeria (Regency of Algiers) & Morocco
algeria and tunis,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis)
algeria and tunisia,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis)
algerie,Algeria (Regency of Algiers)
algerië,Algeria (Regency of Algiers)
algérie,Algeria (Regency of Algiers)
algerie ; belgisk kongo ; egypt ; fransk vest-afrika ; kanariøiene ; libya (tripolis) ; madagaskar ; marokko ; syd-afrika-sambandet ; tunis ; øst-afrika ; syd-afrika ellers,Africa (other)
algérie (par terre),Algeria (Regency of Algiers)
algerie en tunis,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis)
"algérie, maroc, tunisie et zanzibar",Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar
"algérie, tunis",Algeria (Regency of Algiers) & Tunisia (Regency of Tunis)
"algérie, tunis, tripoli, maroc",Barbary Coast
"algérie, tunisie",Algeria (Regency of Algiers) & Tunisia (Regency of Tunis)
"algérie, tunisie et maroc",Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis)
algérie*,Algeria (Regency of Algiers)
algerien,Algeria (Regency of Algiers)
algeriet,Algeria (Regency of Algiers)
algier,Algeria (Regency of Algiers)
algier og tunis,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis)
"algier, tunis, tripolis und marocco",Barbary Coast
algiers,Algeria (Regency of Algiers)
"algiers, tunis",Algeria (Regency of Algiers) & Tunisia (Regency of Tunis)
"algiers, tunis, enz.",Algeria (Regency of Algiers) & Tunisia (Regency of Tunis)
algir,Algiers
algoa bay,Algoa Bay
alhucemas,Alhucemas
all countries,World
all europe,Europe
all french possessions (except tunis),French Colonies (other)
all french possessions (except tunis&indo-china),French Colonies (other)
all other africa,Africa (other)
all other asia,Asia (other)
all other british oceania,British Oceania (other)
all other british possessions,British Colonies (other)
all other british possessions except china,British Colonies (other)
all other british possessions in north america,British Northern America
"all other british possessions, excluding china",British Colonies (other)
all other countries,World (other)
all other countries and ports,World (other)
all other countries and ports in africa,Africa (other)
all other countries and ports in asia,Asia (other)
all other countries and ports in south america,Southern America (other)
"all other countries and ports, and seas",World (other)
"all other countries, islands, and ports",World (other)
all other foreign countries,World (other)
"all other foreign countries, n.o.d.",World (other)
all other french possessions,French Colonies (other)
all other oceania,Oceania (other)
all other portuguese possessions,Portuguese Colonies (other)
all other south america,Southern America (other)
all other spanish possessions,Spanish Colonies (other)
all spanish possessions other than cuba and porto rico,Spanish Colonies (other)
all spanish possessions other than cuba and puerto rico (principally canary and philippine islands),Spanish Colonies (other)
"all spanish possessions other than cuba, puerto rico and philippine islands",Spanish Colonies (other)
alle overige lander,World (other)
allem./autres,Germany (Zollverein) (other)
allem./prusse,Prussia
allem./rhin,Rhine
allem./villes anséatiques,Hanse Towns
allemagne,Germany (Zollverein)
allemagne (+ autriche),Austria & Germany (Zollverein)
allemagne (+ sarre),Germany (Zollverein) & Saar
allemagne (+autriche),Austria & Germany (Zollverein)
allemagne (association commerciale allemande),Germany (Zollverein)
allemagne (brême et hambourg),Bremen & Hamburg
allemagne (empire),Germany (Zollverein)
allemagne (empire)*,Germany (Zollverein)
allemagne (etats d'),Germany (Zollverein)
allemagne (hanovre),Hanover
allemagne (marchandises étrangères),Germany (Zollverein)
allemagne (marchandises françaises),Germany (Zollverein) (French produce)
"allemagne (prusse, brême, hambourg)",Bremen & Hamburg & Prussia
"allemagne (prusse,hanovre,brême,hambourg,saxe,danemarck)",Germany (Zollverein)
allemagne (prusse),Prussia
allemagne (saxe et danemarck),Denmark & Saxony
allemagne (union douanière allemande),Germany (Zollverein)
allemagne & sarre,Germany (Zollverein) & Saar
allemagne du nord,North Germany
allemagne du nord et hambourg,Hamburg & North Germany
allemagne entière,Germany (Zollverein)
allemagne et autriche,Austria & Germany (Zollverein)
allemagne et prusse,Germany (Zollverein) (other) & Prussia
allemagne et rhin,Germany (Zollverein) & Rhine
allemagne et ses colonies,German Colonies & Germany (Zollverein)
"allemagne, autre",Germany (Zollverein) (other)
"allemagne, belgique, espagne, maroc, autres pays",Belgium & Germany (Zollverein) & Morocco & Spain & World (other)
"allemagne, belgique,pays-bas",Belgium & Germany (Zollverein) & Netherlands
"allemagne, lübeck",Lübeck
"allemagne, villes anséatiques",Germany (Zollverein) & Hanse Towns
allemanha,Germany (Zollverein)
allemanha do norte,Germany (Zollverein)
almanya,Germany (Zollverein)
alsace-lorraine,Alsace Lorraine
alt-preussischen ostseehäfen,Prussia (Baltic Ports)
alte tari,World (other)
altona,Altona
altona (danem.),Altona
altona (port franc d'),Altona
altona et wandsbeck,Altona & Wandsbeck
altre antille,West Indies (other)
altre contrade (africa),Africa (other)
altre contrade (america),America (other)
altre contrade (asia),Asia (other)
altre contrade (oceania),Oceania (other)
altre contrade dell'america merid.,Southern America (other)
altre contrade en africa,Africa (other)
altre contrade en america,America (other)
altre contrade en asia,Asia (other)
altre contrade en oceania,Oceania (other)
altre nazioni,World (other)
altri paesi,World (other)
altri paesi am. nord,Northern America (other)
altri paesi am. sud,Southern America (other)
altri paesi cont. am. c.,Central America (Continental) (other)
altri paesi d'europa,Europe (other)
altri paesi d'oceania,Oceania (other)
altri paesi eq. occ. afr.,Equatorial Western Africa (other)
altri paesi eq. or. afr.,Equatorial Eastern Africa (other)
altri paesi insul. am. c.,Central America (Insular) (other)
altri paesi non occ. d'asia,Eastern Asia (other)
altri paesi occ. d'asia,Western Asia (other)
altri possedimenti inglesi in asia,British Asia (other)
altri stati dell'america centrale,Central America (other)
alzir,Algeria (Regency of Algiers)
alžir,Algeria (Regency of Algiers)
alzira,Algeria (Regency of Algiers)
alzyras,Algeria (Regency of Algiers)
"am, autres ports",America (other)
ambina,Unknown
amér. anglaise,British America
amér. centrale,Central America
amér. du nord brit,British Northern America
amér. du nord britan.,British Northern America
amer. nord,Northern America
amér. nord,Northern America
amer. nord britan.,British Northern America
amer. nord britannique,British Northern America
amer. sud,Southern America
amér. sud,Southern America
america,America
america - possessoes americanas,American America
america - possessoes britannicas,British America
america - possessoes britannicas nord central,British North Central America
america - possessoes francezas,French America
america (central),Central America
america (south),Southern America
america centrale,Central America
america meridionale,Southern America
america stati uniti,United States of America
america sul - possessoes britannicas,British Southern America
america-diversas possessoes britannicas,British America
"america, north and south",America
"america, other parts",America (other)
"america, stati uniti e canada",Canada (Province of Canada) & United States of America
american (porto rico),Puerto Rico
american ports,America (other)
american samoa,American Samoa
american virgin islands,Virgin Islands (Danish West Indies)
american w. i.,American West Indies
american west indian dependencies,American West Indies
american west indies,American West Indies
"americas, incl. usa",America
amerika,America
amerika birlesik devletleri,United States of America
amerika tengah,Central America
amerika's übriger westküste,Western America (other)
amerika's westküste,Western America
amerika's westküste (excl. central-amerika),Western America
amerikanisch polynesien,American Polynesia
amerikas för. stat.,United States of America
amerikas för. stater,United States of America
amerikas forenede stater,United States of America
amerikas förenta stater,United States of America
amerique,America
amérique,America
amérique (etats-unis et autres),America
amérique (etats-unis),United States of America
amérique anglaise du nord,British Northern America
amérique centrale,Central America
amérique centrale continentale,Central America
amérique centrale et antilles,Central America & West Indies
amérique du nord,Northern America
amérique du nord (halifax),Halifax
amérique du nord brit,British Northern America
amérique du nord britannique,British Northern America
amérique du nord et du sud,Northern America & Southern America
"amérique du nord, iles d'inde occidentale, brésil",Brazil & Northern America & West Indies
amerique du sud,Southern America
amérique du sud,Southern America
amérique du sud (anciennes colonies espagnoles),Spanish America
amérique du sud (sauf brésil),Southern America (other)
amérique du sud et indes occidentales,Southern America & West Indies
amérique entière,America
amérique méridionale,Southern America
"amérique méridionale (brésil, rio de la plata, autres)",Southern America
amérique méridionale et antilles,Southern America & West Indies
amérique nord,Northern America
amérique russe,Russian America
amérique septentrionale,Northern America
amérique sud,Southern America
"amérique, iles érangères des indes occidentales et mer du sud",America & Pacific Islands & West Indies (other)
"amiranten, mauritius en seychellen",Amirante Is. & Mauritius & Seychelles
amoy,Xiamen (Amoy)
amsterdam,Amsterdam
amur ports,Russia (Amur River)
anam & other french india,Annam & Cambodia (Kampuchea) & Cochin China & Kwanchowan & Tonkin
anatolie,Western Anatolia
anciennes colonies espagnoles,Spanish America
andaman islands,Andaman Is.
andorra,Andorra
andra britt. öar i stilla oceanen,British Oceania (other)
"andra länder, utan närmare uppgift",World (other)
andre brit. bes. i v.india,British West Indies (other)
andre brit. besiddelser,British Colonies (other)
andre britiske besittelser i asia,British Asia (other)
andre britiske besittelser i syd-afrika m. v.,South Africa (other)
andre britiske områder,British Colonies (other)
"andre europ. land, omfatende albania og andorra",Europe (other)
andre europeiske land,Europe (other)
andre franske bes. i vest-afrika,French West Africa (other)
andre ikke særlig anförte steder,Unknown
andre land i nordafrika,Northern Africa (other)
andre lande,World (other)
andre lande eller uopgit,World (other)
andre lande i amerika,America (other)
andre lande i europa,Europe (other)
andre steder,World (other)
andre tyske havne ved norsøen,Germany (Zollverein) (North Sea)
andre vestlige assiatike land,Western Asia (other)
andre vestlige assiatike land ; øvrige asiatiske land,Asia (other)
angletere,United Kingdom
angleterre,United Kingdom
angleterre (londres et malte),Malta & United Kingdom
angleterre (londres et malte)**,Malta & United Kingdom
angleterre (londres),London
angleterre (londres)**,London
angleterre (marchandises étrangères),United Kingdom (Foreign produce)
angleterre (marchandises étrangères) (autre),United Kingdom (Foreign produce) (other)
angleterre (marchandises françaises),United Kingdom (French produce)
angleterre (non compris ses compositions dans la méditerranée),United Kingdom
angleterre (non compris ses possessions dans la méditerranée),United Kingdom
angleterre et colonies,British Colonies & United Kingdom
angleterre et colonies anglaises,British Colonies & United Kingdom
angleterre et dépendances,British Colonies & United Kingdom
angleterre et dépendances d'europe,British Europe & United Kingdom
angleterre et gibraltar,Gibraltar & United Kingdom
angleterre et gibraltar et iles ioniennes et malte,Gibraltar & Ionian Is. & Malta & United Kingdom
angleterre et gibraltar et îles ioniennes et malte,Gibraltar & Ionian Is. & Malta & United Kingdom
angleterre et gibraltar et malte,Gibraltar & Malta & United Kingdom
angleterre et gibraltar et malte et iles ioniennes,Gibraltar & Ionian Is. & Malta & United Kingdom
angleterre et gibraltat et îles ioniennes et malte,Gibraltar & Ionian Is. & Malta & United Kingdom
angleterre et iles ioniennes,Ionian Is. & United Kingdom
angleterre et irlande,Ireland & United Kingdom
angleterre et malte,Malta & United Kingdom
angleterre et malte et gibraltar et îles ioniennes,Gibraltar & Ionian Is. & Malta & United Kingdom
angleterre et malte et iles ioniennes,Ionian Is. & Malta & United Kingdom
angleterre et malte et îles ioniennes,Ionian Is. & Malta & United Kingdom
angleterre et possessions,British Colonies & United Kingdom
angleterre et possessions anglaises,British Colonies & United Kingdom
angleterre et possessions anglaises dans la méditerranée,British Mediterranean Sea & United Kingdom
angleterre et possessions d'europe,British Europe & United Kingdom
angleterre et ses colonies,British Colonies & United Kingdom
angleterre et ses possessions,British Colonies & United Kingdom
"angleterre, gibraltar",Gibraltar & United Kingdom
"angleterre, gibraltar, iles ioniennes, malte",Gibraltar & Ionian Is. & Malta & United Kingdom
"angleterre, gibraltar, malte et iles ioniennes",Gibraltar & Ionian Is. & Malta & United Kingdom
"angleterre, inde anglaise et nouvelle galles du sud",India & New South Wales & United Kingdom
"angleterre, malte",Malta & United Kingdom
"angleterre, malte et iles ioniennes",Ionian Is. & Malta & United Kingdom
"angleterre, malte et îles ioniennes",Ionian Is. & Malta & United Kingdom
"angleterre, malte, et iles ioniennes",Ionian Is. & Malta & United Kingdom
"angleterre, y compris gibraltar, malte et iles ioniennes",Gibraltar & Ionian Is. & Malta & United Kingdom
"angleterre, y compris malte et gibraltar",Gibraltar & Ionian Is. & Malta & United Kingdom
angli,United Kingdom
anglia,United Kingdom
anglija,United Kingdom
anglijas kol kapkolonija un natal,Cape Colony (Cape of Good Hope) & Natal
anglijas kol. americas,British America
anglijas kolon afrika,British Africa
"anglijas kolonijas sev nem, afrika",British Africa (other)
"anglijas kolonijas sev nem, amerika",British America (other)
anglja,United Kingdom
"anglja, irlandja",Ireland & United Kingdom
anglo egyptian sudan,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
anglo-egyptian soudan,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
anglo-egyptian sudan,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
anglo-egyptian sudan‡,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
anglo-egyptian sudan||,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
anglo-egyptiska sudan,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
anglu kol azija,British Asia
anglu sudanas,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
angola,Angola
angóla,Angola
angola (ou afriq.-occidentale portug.),Angola
angola (portuguess africa),Angola
"angola, enz.",Angola
"angola, port. kongo",Angola & Cabinda (Portuguese Congo)
angra-pequena,Angra Pequena
anguila,Anguilla
anguilla,Anguilla
anjouan,Anjouan
annam,Annam
annapolis,Annapolis
annovar,Annobon I.
antarctic regions,Antarctic
antarctica,Antarctic
antarktiske områder,Antarctic
antigoa,Antigua and Barbuda (Antigua)
antigua,Antigua and Barbuda (Antigua)
antigua (british west india islands),Antigua and Barbuda (Antigua)
antigua (leeward islands - west india islands),Antigua and Barbuda (Antigua)
antigue,Antigua and Barbuda (Antigua)
antilhas holandesas,Netherlands Antilles
antilhas hollandesas,Netherlands Antilles
antilla,West Indies
antilla holandesa,Netherlands Antilles
antillas,West Indies
antillas americanas,Virgin Islands (Danish West Indies)
antillas británicas,British West Indies
antillas danesas,Virgin Islands (Danish West Indies)
antillas francesas,French West Indies
antillas holandesas,Netherlands Antilles
antillas inglesas,British West Indies
antillas menores,West Indies (other)
"antillas, mauricio y la reunion",Mauritius & Reunion (Bourbon I.) & West Indies
antille britanniche,British West Indies
antille francesi,French West Indies
antillen,West Indies
antilles,West Indies
antilles (autres que danoises),West Indies (other)
antilles (non britanniques),West Indies (other)
antilles allemandes,German West Indies
antilles allemandes occidentales,German West Indies
antilles anglaises,British West Indies
antilles anglaises occidentales,British West Indies (other)
antilles brit./ bermudes,Bermuda & British West Indies
antilles britan,British West Indies
antilles britaniques,British West Indies
antilles britanniques,British West Indies
antilles britanniques (y compris bermudes),Bermuda & British West Indies
antilles danoises,Virgin Islands (Danish West Indies)
antilles des etats-unis,Virgin Islands (Danish West Indies)
antilles des etats-unis d'amérique,Virgin Islands (Danish West Indies)
antilles espagnoles,Spanish West Indies
antilles espagnoles occidentales,Spanish West Indies (West)
antilles et amérique centrale,Central America & West Indies
antilles et guyane britannique,British West Indies & Guyana (British Guiana)
antilles et guyane française,French Guiana & French West Indies
antilles et guyane néerlandaise,Netherlands Antilles & Surinam (Dutch Guiana)
antilles étrangères,West Indies (other)
antilles étrangères occidentales,West Indies (West)
antilles françaises,French West Indies
antilles françaises occidentales,French West Indies (West)
antilles hollandaises,Netherlands Antilles
antilles néerlandaises,Netherlands Antilles
antilles orientales,West Indies (East)
"antilles, maurice, la réunion",Mauritius & Reunion (Bourbon I.) & West Indies
"antilles, maurice, la réunion*",Mauritius & Reunion (Bourbon I.) & West Indies
"antilles, maurice, la réunion**",Mauritius & Reunion (Bourbon I.) & West Indies
antilles**,West Indies
antwerp,Antwerp
antylle i guyana brytańskie,British West Indies & Guyana (British Guiana)
antylle i guyana francuskie,French Guiana & French West Indies
antylle st. zjedn,Virgin Islands (Danish West Indies)
anvers (belgique),Antwerp
approv de navi etrangers,***NA
approvisionnement de navires étrangers,***NA
approvisionnements de navires,***NA
arabia,Arabia
arábia,Arabia
arabia ; irak (mesopotamia) ; hong kong ; andre brit. besiddelser ; portugisiske besiddelser ; andre land,Arabia & British Asia (other) & Hong Kong & Iraq (Mesopotamia) & Portuguese Africa
arabia : aden,Aden
arabia : eooria mooria islands,Kuria Muria Is.
arabia : kooria mooria islands,Kuria Muria Is.
arabia : muscat,Oman (Sultanate of Muscat and Oman)
arabia : muscat territory and truckal oman,Oman (Sultanate of Muscat and Oman) & United Arab Emirates (Trucial Oman)
arabia : other native states,Arabia (other)
arabia (by land),Arabia
arabia (by sea) and gulf ports,Arabia & Persian Gulf
arabia (exclusive of aden),Arabia (other)
arabia (incl. arabian gulf ports),Arabia & Persian Gulf
arabia (including arabian gulf ports),Arabia & Persian Gulf
arabia (land trade),Arabia
arabia (muscat),Oman (Sultanate of Muscat and Oman)
arabia (or red sea ports),Red Sea (Arabia)
arabia and aden,Aden & Arabia
arabia other native states,Arabia (other)
arabia other states,Arabia (other)
"arabia, including arabian gulf ports",Arabia & Persian Gulf
"arabia, muscat",Oman (Sultanate of Muscat and Oman)
"arabia, native states",Arabia (other)
"arabia, other native states",Arabia (other)
"arabia, other states",Arabia (other)
arábiai brit birtok,British Arabia
arabian and persian gulfs,Arabia & Persian Gulf
arabian and persian gulfs and red sea,Arabia & Persian Gulf & Red Sea
arabian states,Arabia
arabie,Arabia
arabië,Arabia
arabie en aden,Aden & Arabia
arabië en azië,Arabia
"arabie, aden, etc.",Aden & Arabia
"arabië, enz.",Arabia
"arabie, golfe persique",Arabia & Persian Gulf
"arabie, perse",Arabia & Persian Gulf
arabie*,Arabia
arabien,Arabia
arabija,Arabia
arabja,Arabia
aracan,Arakan
"aracan, ténassérim",Arakan & Tanintharyi Region
arániai brit birtok,British Arabia
archangel,Sitka (Arkhangelsk)
archipel,Archipel
archipel indien,Indonesia (Dutch East Indies) (other)
archipel oriental,Indonesia (Dutch East Indies) (other)
archipel soude,Sunda Islands
arctic region,Arctic
arctic regions,Arctic
argelia,Algeria (Regency of Algiers)
argélia,Algeria (Regency of Algiers)
argelia y tunez,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis)
argentiina,Argentina (La Plata)
argentina,Argentina (La Plata)
argentína,Argentina (La Plata)
arǵentína,Argentina (La Plata)
argentina und uruguay,Argentina (La Plata) & Uruguay
argentine,Argentina (La Plata)
argentine (confédération d'),Argentina (La Plata)
argentine (la plata - port de buenos-ayres uniquement),Buenos Aires
argentine (république d'),Argentina (La Plata)
argentine confederation,Argentina (La Plata)
argentine epublic and uruguay and paraguay,Argentina (La Plata) & Paraguay & Uruguay
argentine republic,Argentina (La Plata)
argentine republic (including the atlantic coast of patagonia),Argentina (La Plata) & Patagonia (Atlantic Coast)
argentine republic and atlantic coast of patagonia,Argentina (La Plata) & Patagonia (Atlantic Coast)
argentine republic and uruguay,Argentina (La Plata) & Uruguay
argentine republic and uruguay and paraguay,Argentina (La Plata) & Paraguay & Uruguay
"argentine republic, other south america",Argentina (La Plata) & Southern America (other)
