RICname,type,continent,GPH_code,slug,parent_entity
"Albania & Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",group,Europe,,Albania_YugoslaviaKingdomofSerbsCroatsandSlovenes,
Alboran Island,locality,Europe,,,Spain
Aleppo,GPH_entity,Asia,6525,Aleppo,
Aleppo & Alexandretta,group,Asia,,,
Aleppo & Latakia (Alaouites),group,Asia,,,
Alexander Bay,locality,Africa,,,Orange Free State (Orange River Colony)
Alexandretta,locality,Asia,,,Turkey (Ottoman Empire)
Alexandria,locality,Africa,,Alexandria,Egypt Arab Republic (Egypt)
Alexandria & Damietta & Jeddah & Rosetta,group,Africa,,Alexandria_Damietta_Jeddah_Rosetta,
Alexandria & Egypt Arab Republic (Egypt),group,Africa,,Alexandria_EgyptArabRepublicEgypt,
Alexandria & Suez Canal Zone,group,Africa,,Alexandria_SuezCanalZone,
Algarve,locality,Europe,,Algarve,Portugal
Algeria (Regency of Algiers),GPH_entity,Africa,615,Algeria (Regency of Algiers),
Algeria (Regency of Algiers) (other),locality,Africa,,,Algeria (Regency of Algiers)
Algeria (Regency of Algiers) & Egypt Arab Republic (Egypt),group,Africa,,,
Algeria (Regency of Algiers) & Egypt Arab Republic (Egypt) & Tripolitania (Regency of Tripoli) & Tunisia (Regency of Tunis),group,Africa,,,
Algeria (Regency of Algiers) & France,group,World,,Algeria (Regency of Algiers)_France,
Algeria (Regency of Algiers) & France & French Colonies (other),group,World,,Algeria (Regency of Algiers)_France_FrenchColoniesother,
Algeria (Regency of Algiers) & France & Morocco & Tunisia (Regency of Tunis),group,World,,Algeria (Regency of Algiers)_France_Morocco_Tunisia (Regency of Tunis),
Algeria (Regency of Algiers) & France & Tunisia (Regency of Tunis),group,World,,,
Algeria (Regency of Algiers) & Morocco,group,Africa,,,
Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis),group,Africa,,,
Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,group,Africa,,Algeria (Regency of Algiers)_Morocco_Tunisia (Regency of Tunis)_Zanzibar,
Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),group,Africa,,,
Algiers,locality,Africa,,Algiers,Algeria (Regency of Algiers)
Algiers & Annaba (Bône),group,Africa,,Algiers_AnnabaB�ne,
Algoa Bay,locality,Africa,,,Cape Colony (Cape of Good Hope)
Alhucemas,GPH_entity,Africa,6061,,
Alo (Futuna),GPH_entity,Oceania,9324,,
Alsace Lorraine,GPH_entity,Europe,2201,,
Altona,locality,Europe,,Altona,Holstein
Altona & Hamburg,group,Europe,,Altona_Hamburg,
Altona & Holstein,group,Europe,,,
Altona & Holstein & Schleswig,group,Europe,,,
Altona & Wandsbeck,group,Europe,,Altona_Wandsbeck,
Ambon,locality,Asia,,AmbonIsland,Indonesia (Dutch East Indies)
Ambriz,locality,Africa,,,Angola
America,geographical_area,America,,America,
America (other),locality,America,,Americaother,America
America (other) & Europe (other),group,World,,Americaother_Europeother,
America & Pacific Islands & West Indies (other),group,World,,,
American America,colonial_area,America,,,United States of America
American America & British America & Dutch America & French America,group,America,,,
American America & British America & French America,group,America,,,
American Asia,colonial_area,Asia,,,United States of America
American Asia & American Oceania,group,World,,,
American Central America,colonial_area,America,,,United States of America
American China,colonial_area,Asia,,AmericanChina,United States of America
American Colonies,colonial_area,World,,,United States of America
American Colonies (other),locality,World,,,American Colonies
American Colonies & French West Indies,group,America,,,
American Colonies & Netherlands Antilles,group,America,,,
American Colonies & United States of America,group,World,,AmericanColonies_UnitedStatesofAmerica,
American Oceania,colonial_area,Oceania,,AmericanOceania,United States of America
American Polynesia,colonial_area,Oceania,,,United States of America
American Samoa,GPH_entity,Oceania,991,,
American West Indies,colonial_area,America,,,United States of America
Amirante Is.,GPH_entity,Africa,5921,,
Amirante Is. & Mauritius & Seychelles,group,Africa,,,
Amsterdam,locality,Europe,,Amsterdam,Netherlands
Anambas Is.,locality,Asia,,,Riau
Anambas Is. & Natuna,group,Asia,,,
Ancona,GPH_entity,Europe,3271,Ancona,
Andaman Is.,GPH_entity,Asia,7501,AndamanIs,
Andorra,GPH_entity,Europe,232,Andorra,
Anecho (Little Popo),GPH_entity,Africa,4346,,
Angola,GPH_entity,Africa,540,Angola,
Angola & Cabinda (Portuguese Congo),group,Africa,,,
Angra Pequena,locality,Africa,,NamibiaSouthWestAfricaGermanSouthWestAfrica,Namibia (South West Africa) (German South West Africa)
Anguilla,GPH_entity,America,1062,,
Anguilla & St. Kitts-Nevis,group,America,,,
Anjouan,GPH_entity,Africa,5813,,
Anjouan & Grand Comoro & Mayotte & Moheli,group,Africa,,,
Annaba (Bône),locality,Africa,,,Algeria (Regency of Algiers)
Annam,GPH_entity,Asia,8152,,
Annam & Cambodia (Kampuchea) & Cochin China & French China & Tonkin,group,Asia,,,
Annam & Cambodia (Kampuchea) & Cochin China & Kwanchowan & Tonkin,group,Asia,,,
Annam & Cambodia (Kampuchea) & Cochin China & Tonkin,group,Asia,,Annam_CambodiaKampuchea_CochinChina_Tonkin,
Annam & Cambodia (Kampuchea) & Laos & Tonkin,group,Asia,,,
Annam & Cochin China & Tonkin,group,Asia,,Annam_CochinChina_Tonkin,
Annapolis,locality,America,,,Nova Scotia
Annobon I.,GPH_entity,Africa,4111,,
Antarctic,geographical_area,Antarctic,,Antarctic,
Antarctic & Arctic,group,World,,,
Antigua and Barbuda (Antigua),GPH_entity,America,58,Antigua_Barbuda,
Antsiranana (Diego-Suarez),locality,Africa,,,Madagascar (Malagasy Republic)
Antwerp,locality,Europe,,Antwerp,Belgium
Arabia,geographical_area,Asia,,Arabia,
Arabia (other),locality,Asia,,Arabiaother,Arabia
Arabia (sea),locality,Asia,,,Arabia
Arabia & Asian Turkey & Iran (Persia),group,Asia,,AsianTurkey_IranPersia_MiddleEast,
Arabia & Asian Turkey & Iran (Persia) & Russian Turkestan,group,Asia,,,
Arabia & British Asia (other) & Hong Kong & Iraq (Mesopotamia) & Portuguese Africa,group,Asia,,,
Arabia & Hejaz Sultanate & Iraq (Mesopotamia),group,Asia,,,
Arabia & Persian Gulf,group,Asia,,,
Arabia & Persian Gulf & Red Sea,group,Asia,,,
Arakan,locality,Asia,,,Myanmar (Burma)
Arakan & Bago (Pegu) & Mawlamyine & Rangoon,group,Asia,,,
Arakan & Chittagong & Tanintharyi Region,group,Asia,,Arakan_Chittagong_TanintharyiRegion,
Arakan & Tanintharyi Region,group,Asia,,Aracan_TanintharyiRegion,
Archipelago,locality,Europe,,Archipel,Turkey (Ottoman Empire)
Archipelago & Izmir (Smyrna),group,World,,DodecaneseIs.AegeanIs._IzmirSmyrna,
Archipelago & Romania & Turkey (Ottoman Empire),group,World,,DodecaneseIsAegeanIs_Romania_TurkeyOttomanEmpire,
Archipelago & Turkey (Ottoman Empire),group,World,,DodecaneseIsAegeanIs_TurkeyOttomanEmpire,
Arctic,geographical_area,Arctic,,Arctic,
Arctic & Faeroe Is. & Iceland,group,World,,,
Arctic & Greenland & North Sea,group,World,,Arctic_Greenland_NorthSea,
Arctic & North Sea,group,World,,,
Argentina (La Plata),GPH_entity,America,160,ArgentinaLaPlata,
Argentina (La Plata) (other),locality,America,,ArgentinaLaPlata,Argentina (La Plata)
Argentina (La Plata) & Brazil,group,America,,,
Argentina (La Plata) & Brazil & Southern America (other),group,America,,Argentina (R�o de la Plata)_Brazil_SouthernAmerica,
Argentina (La Plata) & Chile,group,America,,ArgentinaLaPlata_Chile,
Argentina (La Plata) & Paraguay & Uruguay,group,America,,ArgentinaLaPlata_Paraguay_Uruguay,
Argentina (La Plata) & Patagonia (Atlantic Coast),group,America,,ArgentinaLaPlata_PatagoniaAtlanticCoast,
Argentina (La Plata) & Southern America (other),group,America,,Argentina (R�o de la Plata)_SouthernAmericaother,
Argentina (La Plata) & Uruguay,group,America,,ArgentinaLaPlata_Uruguay,
Argyll,locality,Europe,,,Scotland
Arica,locality,America,,Arica,Chile
Arica & Tacna,group,America,,Arica_Tacna,
Armenia,GPH_entity,Europe,371,,
Armenia & Kurdistan,group,Europe,,,
Aruba,GPH_entity,America,1069,,
Aruba & Bonaire,group,America,,Aruba_Bonaire,
Arwad,locality,Asia,,,Syria
Asante (Ashanti Empire),GPH_entity,Africa,4521,,
Ascension I.,GPH_entity,Africa,4070,AscensionI.,
Ascension I. & St. Helena,group,Africa,,AscensionI._St.Helena,
Ashmore and Cartier Is,GPH_entity,Oceania,9008,,
Asia,geographical_area,Asia,,Asia,
Asia (other),locality,Asia,,Asiaother,Asia
Asia (other) & Australia & East Indies,group,World,,,
Asia (other) & British East Indies & People's Republic of China (China) & Indonesia (Dutch East Indies),group,Asia,,,
Asia (other) & British East Indies & People's Republic of China (China) & Thailand (Siam),group,Asia,,,
Asia (other) & East Indies,group,Asia,,Asiaother_EastIndies,
Asia (other) & East Indies & People's Republic of China (China),group,Asia,,,
Asian Russia,locality,Asia,,RussiaUSSR,Russia (USSR)
Asian Russia (other),locality,Asia,,,Asian Russia
Asian Russia & Japan,group,Asia,,,
Asian Turkey,locality,Asia,,AsianTurkey,Turkey (Ottoman Empire)
Asian Turkey & Cyprus,group,World,,AsianTurkey_Cyprus,
Asian Turkey & European Turkey,group,World,,AsianTurkey_EuropeanTurkey,
Assab,GPH_entity,Africa,5331,,
Assab & Bailul & Massawah,group,Africa,,Assab_Bailul_Massawah,
Assam,GPH_entity,Asia,7572,,
Assam & Bengal,group,Asia,,Assam_Bengal,
Assam & Bengal & Bihar & Odisha,group,Asia,,Assam_Bengal_Bihar_Odisha,
Assinie,GPH_entity,Africa,4373,,
Assinie & Congo (Brazzaville) (French Congo) (Middle Congo) & Grand-Bassam,group,Africa,,,
Assinie & Grand-Bassam,group,Africa,,,
Assinie & Grand-Bassam & Senegal,group,Africa,,,
Atlantic Ocean,geographical_area,Atlantic,,AtlanticOcean,
Auckland Is.,GPH_entity,Oceania,9205,,
Auckland Is. & Fiji,group,Oceania,,,
Australia,GPH_entity,Oceania,900,Australia,
Australia (French produce),locality,Oceania,,,Australia
Australia (other),locality,Oceania,,Australiaother,Australia
Australia (other) & Christmas I.,group,Oceania,,,
Australia & British Oceania & Tasmania,group,Oceania,,,
Australia & Canada (Province of Canada),group,World,,Australia_CanadaProvinceofCanada,
Australia & Cape Colony (Cape of Good Hope) & Mauritius,group,World,,Australia_CapeColonyCapeofGoodHope_Mauritius,
Australia & East Indies,group,Oceania,,,
Australia & Hawaii (Sandwich Is.),group,World,,Australia_Hawaii (Sandwich Is.),
Australia & Hawaii (Sandwich Is.) & New Guinea (German New Guinea) (Kaiser Wilhelmsland) & Samoa,group,Oceania,,,
Australia & Hong Kong & India & Myanmar (Burma) & Singapore,group,World,,,
Australia & New Caledonia & New Zealand,group,Oceania,,Australia_NewCaledonia_NewZealand,
Australia & New Zealand,group,Oceania,,Australia_NewZealand,
Australia & New Zealand & Pacific Islands,group,Oceania,,,
Australia & New Zealand & Tasmania,group,Oceania,,,
Australia & Oceania,group,Oceania,,Australia_Oceania,
Australia & Oceania (other),group,Oceania,,,
Australia & Pacific Islands,group,Oceania,,Australia_PacificIslands,
Australia & Polynesia,group,Oceania,,Australia_Polynesia,
Australia & Tasmania,group,Oceania,,,
Australia & Western Australia,group,Oceania,,Australia_WesternAustralia,
Australian Northern Territory,locality,Oceania,,,Australia
Australian Northern Territory & South Australia,group,Oceania,,,
Austria,GPH_entity,Europe,305,Austria,
Austria & Czechoslovakia & Hungary,group,Europe,,,
Austria & Germany (Zollverein),group,Europe,,Austria_GermanyZollverein,
Austria-Hungary (Austrian Empire),GPH_entity,Europe,300,Austria-Hungary,
Austria-Hungary (Austrian Empire) (Adriatic),locality,Europe,,,Austria-Hungary (Austrian Empire)
Austria-Hungary (Austrian Empire) & Austrian Dependencies,group,World,,,
Austria-Hungary (Austrian Empire) & Bosnia-Herzegovina,group,Europe,,,
Austria-Hungary (Austrian Empire) & Cracow (Free City of Cracow),group,Europe,,Austria_CracowFreeCityofCracow,
Austria-Hungary (Austrian Empire) & Germany (Zollverein),group,Europe,,,
Austria-Hungary (Austrian Empire) & Italy,group,Europe,,Austria-Hungary_Italy,
Austria-Hungary (Austrian Empire) & Lombardy-Venetia,group,Europe,,Austria-Hungary_Lombardy-Venetia,
Austria-Hungary (Austrian Empire) & Saxony,group,Europe,,,
Austria-Hungary (Austrian Empire) & Trieste,group,Europe,,,
Austrian Dependencies,locality,Europe,,,Austria-Hungary (Austrian Empire)
Axim,locality,Africa,,,Ghana (Gold Coast)
Azores (Western Isles),GPH_entity,Africa,400,AzoresWesternIsles,
Azores (Western Isles) & Canary Is.,group,Africa,,AzoresWesternIsles_CanaryIs,
Azores (Western Isles) & Canary Is. & Cape Verde,group,Africa,,,
Azores (Western Isles) & Cape Verde & Madeira Isles,group,Africa,,AzoresWesternIsles_CapeVerde_MadeiraIsles,
Azores (Western Isles) & Madeira Isles,group,Africa,,AzoresWesternIsles_MadeiraIsles,
Azores (Western Isles) & Madeira Isles & Portugal,group,World,,AzoresWesternIsles_MadeiraIsles_Portugal,
Azores (Western Isles) & Madeira Isles & Tenerife,group,Africa,,,
Azores (Western Isles) & Portugal,group,World,,,
Azores (Western Isles) & Western Africa,group,Africa,,,
Badagry,locality,Africa,,,Nigeria
Baden,GPH_entity,Europe,267,Baden,
Bageidah,locality,Africa,,,German Togoland
Baghdad,locality,Asia,,Baghdad,Iraq (Mesopotamia)
Bago (Pegu),locality,Asia,,BagoPegu,Myanmar (Burma)
Bago (Pegu) & Bengal,group,Asia,,BagoPegu_Bengal,
Bago (Pegu) & Rangoon,group,Asia,,BagoPegu_Rangoon,
Baguida,locality,Africa,,,German Togoland
Bahamas,GPH_entity,America,31,Bahamas,
Bahamas & British West Indies,group,America,,,
Bahamas & Turks and Caicos Is.,group,America,,Bahamas_TurksandCaicosIs.,
Bahia,locality,America,,Bahia,Brazil
Bahia & Pernambuco & Pará & Rio de Janeiro,group,America,,,
Bahia & Pernambuco & Rio de Janeiro,group,America,,,
Bahrain,GPH_entity,Asia,692,Bahrain,
Bailul,locality,Africa,,,Eritrea
Bakana,locality,Africa,,,Nigeria
Balaklava,locality,Europe,,RussiaUSSR,Russia (USSR)
Balearic Islands,locality,Europe,,BalearicIslands,Spain
Balearic Islands & Spain,group,Europe,,BalearicIslands_Spain,
Bali,GPH_entity,Asia,8501,Bali,
Bali & Java & Riau,group,Asia,,Bali_Java_Riau,
Bali & Lombok,group,Asia,,Bali_Lombok,
Bali & Lombok & Sumbawa,group,Asia,,Bali_Lombok_Sumbawa,
Balkans,geographical_area,Europe,,Balkans,
Baltic Ports,geographical_area,Europe,,,
Baltic Ports & Belgium & Germany (Zollverein),group,Europe,,,
Baltimore,locality,America,,Baltimore,United States of America
Baltiysk (Pillau),locality,Europe,,,Prussia
Baltiysk (Pillau) & Braniewo (Braunsberg) & Kaliningrad (Königsberg) & Primorsk (Fischhausen),group,Europe,,BaltiyskPillau_BraniewoBraunsberg_KaliningradK�nigsberg_PrimorskFischhausen,
Baluchistan (Kalat),GPH_entity,Asia,7588,,
Banadir,locality,Africa,,Banadir,Italian Somaliland
Bangka,locality,Asia,,,Belitung (Billiton)
Bangka & Belitung (Billiton),group,Asia,,BangkaIsland_Belitung,
Bangkok,locality,Asia,,,Thailand (Siam)
Barbados,GPH_entity,America,53,Barbados,
Barbados (other),locality,America,,,Barbados
Barbados & Trinidad and Tobago,group,America,,,
Barbary Coast,geographical_area,Africa,,,
Barbary Coast (other),locality,Africa,,,Barbary Coast
Barbary Coast & Egypt Arab Republic (Egypt),group,Africa,,,
Barbary Coast & Egypt Arab Republic (Egypt) & Turkey (Ottoman Empire),group,World,,,
Barbary Coast & Turkey (Ottoman Empire),group,World,,,
Barbuda,GPH_entity,America,1058,,
Barcelona,locality,Europe,,Barcelona,Spain
Barents I.,locality,Europe,,,Svalbard Is.
Barotseland_North_Western Rhodesia (Northwestern Rhodesia),GPH_entity,Africa,5519,Barotseland_North_WesternRhodesiaNorthwesternRhodesia,
Barranquilla,locality,America,,,Colombia (New Granada) (Gran Colombia)
Basra,locality,Asia,,Basra,Iraq (Mesopotamia)
Bassein River,locality,Asia,,BasseinRiver,Myanmar (Burma)
Bata (Spanish Guinea),locality,Africa,,,Equatorial Guinea (Spanish Guinea)
Bathurst,locality,Africa,,Bathurst,Gambia
Bavaria,GPH_entity,Europe,245,Bavaria,
Bavaria & Frankfurt & Saxony,group,Europe,,Bavaria_Frankfurt_Saxony,
Bavaria & Saxony,group,Europe,,Bavaria_Saxony,
Beira,locality,Africa,,Beira,Mozambique (Portuguese East Africa)
Beirut,locality,Asia,,Beirut,Lebanon
Beirut & Egypt Arab Republic (Egypt),group,World,,Beirut_EgyptArabRepublicEgypt,
Beirut & Egypt Arab Republic (Egypt) & Syria,group,World,,Beirut_EgyptArabRepublicEgypt_Syria,
Belgian Africa,colonial_area,Africa,,,Belgium
Belgian Colonies,colonial_area,World,,,Belgium
Belgian Colonies (other),locality,World,,,Belgian Colonies
Belgium,GPH_entity,Europe,211,Belgium,
Belgium & Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),group,World,,Belgium_DemocraticRepublicoftheCongoZaireKinshasaBelgianCongoCongoFreeState,
Belgium & Germany (Zollverein) & Iran (Persia) & Morocco & Sweden & World (other),group,World,,Belgium_GermanyZollverein_IranPersia_Morocco_Othercountries_Sweden,
Belgium & Germany (Zollverein) & Italy & Netherlands & Russia (USSR),group,Europe,,Belgium_GermanyZollverein_Italy_Netherlands_RussiaUSSR,
Belgium & Germany (Zollverein) & Morocco & Spain & World (other),group,World,,Belgium_GermanyZollverein_Morocco_Othercountries_Spain,
Belgium & Germany (Zollverein) & Netherlands,group,Europe,,Belgium_GermanyZollverein_Netherlands,
Belgium & Luxemburg,group,Europe,,Belgium_Luxemburg,
Belgium & Netherlands,group,Europe,,Belgium_Netherlands,
Belitung (Billiton),GPH_entity,Asia,8530,,
Belize (British Honduras),GPH_entity,America,80,BelizeBritishHonduras,
Belize (British Honduras) & British West Indies,group,America,,,
Campeche & Honduras,group,America,,,
Campeche & Honduras & Mosquito Coast,group,America,,,
Belize (British Honduras) & Costa Rica & El Salvador,group,America,,,
Bengal,locality,Asia,,Bengal,India
Bengal & Chennai (Madras) & Mumbai (Bombay) & Myanmar (Burma),group,Asia,,,
Bengal & India & Persian Gulf,group,Asia,,Bengal_India_PersianGulf,
Bengal & Myanmar (Burma),group,Asia,,Bengal_MyanmarBurma,
Bengal & Sri Lanka (Ceylon),group,Asia,,Bengal_SriLankaCeylon,
Benghazi,locality,Africa,,Benghazi,Cyrenaica
Benghazi & Tripolitania (Regency of Tripoli),group,Africa,,,
Benguela,locality,Africa,,,Angola
Benin (Dahomey),GPH_entity,Africa,434,BeninDahomey,
Benin (Dahomey) & German Togoland & Ivory Coast,group,Africa,,,
Berbera,locality,Africa,,,Somalia
Berbera & Bulhar,group,Africa,,Berbera_Bulhar,
Berbera & Bulhar & Zeila,group,Africa,,,
Berbera & Zeila,group,Africa,,,
Berbice,GPH_entity,America,1114,Berbice,
Berbice & Demerara,group,America,,,
Bermuda,GPH_entity,America,30,Bermuda,
Bermuda (other),locality,America,,,Bermuda
Bermuda & British West Indies,group,America,,,
Berwick,locality,Europe,,,United Kingdom
Berwick & Isle of Man & United Kingdom,group,Europe,,,
Bey-Beach,locality,Africa,,,German Togoland
Beypore,locality,Asia,,,India
Bhutan,GPH_entity,Asia,760,,
Bhutan & Nepal,group,Asia,,,
Bihar,locality,Asia,,,India
Bilbao,locality,Europe,,Bilbao,Spain
Bimlipatam,locality,Asia,,,India
Bintan,locality,Asia,,,Riau
Bismarck Archipelago (New Britain) (Neupommern),GPH_entity,Oceania,9830,,
Bissau,locality,Africa,,,Guinea-Bissau (Portuguese Guinea)
Black Sea,geographical_area,World,,,
Black Sea (Asia),locality,Asia,,,Black Sea
Black Sea (Asia) & Mediterranean Sea (Africa) & Mediterranean Sea (Asia),group,World,,,
Black Sea (Europe),locality,Europe,,,Black Sea
Black Sea (Europe) & Mediterranean Sea (Europe),group,Europe,,,
Black Sea & Levant,group,World,,,
Black Sea & Mediterranean Sea,group,World,,,
Black Sea & Russia (USSR),group,Europe,,BlackSea_RussiaUSSR,
Black Sea Free Ports,locality,,,,Turkey (Ottoman Empire)
Bogotá,locality,America,,,Colombia (New Granada) (Gran Colombia)
Bohemia,GPH_entity,Europe,3150,,
Bokhara,GPH_entity,Asia,7020,Bokhara,
Bolivia,GPH_entity,America,145,Bolivia,
Bolivia-Peru Confederation,GPH_entity,America,136,,
Boma,locality,Africa,,,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
Bonaire,GPH_entity,America,1066,,
Bonny River,locality,Africa,,,Nigeria
Bordeaux,locality,Europe,,Bordeaux,France
Borneo,geographical_area,Asia,,,
Borneo & Malaysia (British Malaya),group,Asia,,,
Bosaso,locality,Africa,,Bosaso,Italian Somaliland
Bosnia,GPH_entity,Europe,3461,Bosnia,
Bosnia-Herzegovina,GPH_entity,Europe,346,Bosnia-Herzegovina,
Boston,locality,America,,Boston,United States of America
Botswana (Bechuanaland),GPH_entity,Africa,571,BotswanaBechuanaland,
Botswana (Bechuanaland) & Eswatini (Swaziland) & Lesotho (Basutoland),group,Africa,,BotswanaBechuanaland_EswatiniSwaziland_LesothoBasutoland,
Botswana (Bechuanaland) & South Africa,group,Africa,,BotswanaBechuanaland_SouthAfrica,
Bougainville (Republic of the North Solomons),GPH_entity,Oceania,9101,,
Braniewo (Braunsberg),locality,Europe,,,Prussia
Brass (Nigeria),locality,Africa,,,Nigeria
Brava,locality,Africa,,,Cape Verde
Brazil,GPH_entity,America,140,Brazil,
Brazil & Chile,group,America,,Brazil_Chile,
Brazil & Colombia (New Granada) (Gran Colombia),group,America,,Brazil_ColombiaNewGranadaGranColombia,
Brazil & Northern America & West Indies,group,America,,,
Brazil & Portuguese America (other),group,America,,,
Bremen,GPH_entity,Europe,246,Bremen,
Bremen (Weser),locality,Europe,,,Bremen
Bremen & Hamburg,group,Europe,,Bremen_Hamburg,
Bremen & Hamburg & Mecklenburg Schwerin,group,Europe,,,
Bremen & Hamburg & Prussia,group,Europe,,,
Bremen & Hanover,group,Europe,,Bremen_Hanover,
Bremen & Lübeck,group,Europe,,Bremen_Lubeck,
Bremen & Prussia,group,Europe,,Bremen_Prussia,
Bremerhaven,locality,Europe,,,Bremen
Bremerhaven & Geestemünde,group,Europe,,,
Bridgwater,locality,Europe,,,United Kingdom
British Africa,colonial_area,Africa,,BritishAfrica,United Kingdom
British Africa (other),locality,America,,BritishAfricaother,British Africa
British Africa (other) & Portuguese Africa & Zimbabwe (Rhodesia) (Southern Rhodesia),group,Africa,,,
British America,colonial_area,America,,BritishAmerica,United Kingdom
British America (Atlantic),colonial_area,America,,BritishAmericaAtlantic,United Kingdom
British America (French produce),locality,America,,,British America
British America (other),locality,America,,BritishAmericaother,British America
British America (other) & Canada (Province of Canada),group,America,,,
British America (Pacific),colonial_area,America,,BritishAmericaPacific,United Kingdom
British America & Newfoundland and Labrador (Newfoundland),group,America,,,
British America & United States of America,group,America,,,
British Arabia,colonial_area,Asia,,,United Kingdom
British Asia,colonial_area,Asia,,BritishAsia,United Kingdom
British Asia (other),locality,Asia,,BritishAsiaother,British Asia
British Asia (other) & India,group,Asia,,BritishAsiaother_India,
British Asia & British Oceania,group,World,,BritishAsia_BritishOceania,
British Borneo,colonial_area,Asia,,,United Kingdom
British Borneo & Dutch Borneo,group,Asia,,,
British Borneo & Malaysia (British Malaya),group,Asia,,,
British Borneo & Straits Settlements,group,Asia,,,
British Cameroons,GPH_entity,Africa,472,BritishCameroons,
British Cameroons & Cameroun (French Cameroon),group,Africa,,,
British Cameroons & Nigeria,group,Africa,,,
British Cameroons & Northern Nigeria (British Nigeria),group,Africa,,BritishCameroons_NorthernNigeriaBritishNigeria,
British Central Africa,colonial_area,Africa,,,United Kingdom
British Central America,colonial_area,America,,,United Kingdom
British China,colonial_area,Asia,,BritishChina,United Kingdom
British Colonies,colonial_area,World,,BritishColonies,United Kingdom
British Colonies (Foreign produce),locality,World,,,British Colonies
